book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
9,1 Samuel,1,1,1 Samuel 1:1,1,וַהֲוָה,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,2,גַבְרָא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,3,חַד,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,4,מֵרָמָתָא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,5,מִתַּלְמִידֵי,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,6,נְבִיאַיָא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,7,מִטוּרָא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,8,דְבֵית,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,9,אֶפְרָיִם,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,10,וּשְׁמֵיהּ,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,11,אֶלְקָנָה,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,12,בַּר,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,13,יְרֹחָם,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,14,בַּר,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,15,אֱלִיהוּא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,16,בַּר,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,17,תּוֹחוּ,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,18,בַר,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,19,צוּף,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,20,גַבְרָא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,21,פַּלֵיג,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,22,חוּלַק,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,23,בְּקוּדְשַׁיָא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,24,בְּטוּרָא,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,25,דְבֵית,,,,Jonathan,TARG
9,1 Samuel,1,1,1 Samuel 1:1,26,אֶפְרָיִם:,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,1,וְלֵיהּ,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,2,תַּרְתֵּין,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,3,נְשִׁין,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,4,שׁוּם,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,5,חֲדָא,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,6,חַנָה,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,7,וְשׁוּם,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,8,תִּנְיֵיתָא,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,9,פְּנִנָה,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,10,וַהֲוָה,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,11,לִפְנִנָה,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,12,בְּנִין,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,13,וּלְחַנָה,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,14,לֵית,,,,Jonathan,TARG
9,1 Samuel,1,2,1 Samuel 1:2,15,בְּנִין:,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,1,וּסְלִיק,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,2,גַבְרָא,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,3,הַהוּא,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,4,מִקַרְתֵּיהּ,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,5,מִזְמַן,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,6,מוֹעֵד,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,7,לְמוֹעֵד,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,8,לְמִסְגַד,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,9,וּלְדַבָּחָא,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,10,קֳדָם,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,11,יְיָ,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,12,צְבָאוֹת,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,13,בְּשִׁלֹה,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,14,וְתַמָן,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,15,תְּרֵין,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,16,בְּנֵי,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,17,עֵלִי,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,18,חָפְנִי,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,19,וּפִנְחָס,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,20,מְשַׁמְשִׁין,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,21,קֳדָם,,,,Jonathan,TARG
9,1 Samuel,1,3,1 Samuel 1:3,22,יְיָ:,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,1,וַהֲוָה,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,2,יוֹם,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,3,מוֹעֲדָא,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,4,וְדַבַּח,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,5,אֶלְקָנָה,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,6,וִיהַב,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,7,לִפְנִנָה,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,8,אִתְּתֵיהּ,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,9,וּלְכָל,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,10,בְּנָהָא,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,11,וּבְנָתָהָא,,,,Jonathan,TARG
9,1 Samuel,1,4,1 Samuel 1:4,12,חוּלָקִין:,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,1,וּלְחַנָה,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,2,יְהַב,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,3,חוּלַק,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,4,חָד,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,5,בְּחִיר,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,6,אֲרֵי,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,7,יַת,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,8,חַנָה,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,9,רְחִים,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,10,וּמִן,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,11,קֳדָם,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,12,יְיָ,,,,Jonathan,TARG
9,1 Samuel,1,5,1 Samuel 1:5,13,אִתְמְנַע,,,,Jonathan,TARG
