book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
12,2 Kings,1,1,2 Kings 1:1,1,וּמְרָדוּ,,,,Jonathan,TARG
12,2 Kings,1,1,2 Kings 1:1,2,מוֹאֲבָאֵי,,,,Jonathan,TARG
12,2 Kings,1,1,2 Kings 1:1,3,בְּיִשְׂרָאֵל,,,,Jonathan,TARG
12,2 Kings,1,1,2 Kings 1:1,4,בָּתַר,,,,Jonathan,TARG
12,2 Kings,1,1,2 Kings 1:1,5,דְמִית,,,,Jonathan,TARG
12,2 Kings,1,1,2 Kings 1:1,6,אַחְאָב:,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,1,וּנְפַל,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,2,אֲחַזְיָה,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,3,מִן,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,4,סְרַגְתָּא,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,5,בְּעִילִיתֵיהּ,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,6,דִי,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,7,בְּשֹׁמְרוֹן,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,8,וְאִתְמְרַע,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,9,וּשְׁלַח,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,10,אִזְגַדִין,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,11,וַאֲמַר,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,12,לְהוֹן,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,13,אֱזִילוּ,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,14,תְּבַעוּ,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,15,בְּבַעַל,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,16,זְבוּב,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,17,טַעֲוַת,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,18,עֶקְרוֹן,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,19,אִם,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,20,אֱחֵי,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,21,מִמַרְעֵי,,,,Jonathan,TARG
12,2 Kings,1,2,2 Kings 1:2,22,דֵין:,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,1,וּמַלְאֲכָא,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,2,דַייָ,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,3,מַלֵיל,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,4,עִם,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,5,אֵלִיָהוּ,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,6,דְמִן,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,7,תּוֹשָׁב,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,8,קוּם,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,9,סַק,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,10,לִקְדָמוּת,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,11,אִזְגַדֵי,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,12,מַלְכָּא,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,13,דְשֹׁמְרוֹן,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,14,וּמַלֵיל,,,,Jonathan,TARG
12,2 Kings,1,3,2 Kings 1:3,15,עִמְהוֹן,,,,Jonathan,TARG
