book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
30,Amos,1,1,Amos 1:1,1,פִּתְגָמֵי,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,2,עָמוֹס,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,3,דַהֲוָה,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,4,מָרֵי,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,5,גִתִּין,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,6,מִתְּקוֹעַ,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,7,דְאִתְנַבֵּי,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,8,עַל,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,9,יִשְׂרָאֵל,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,10,בְּיוֹמֵי,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,11,עֻזִיָה,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,12,מְלַךְ,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,13,שִׁבְטָא,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,14,דְבֵית,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,15,יְהוּדָה,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,16,וּבְיוֹמֵי,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,17,יָרָבְעָם,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,18,בַּר,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,19,יוֹאָשׁ,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,20,מַלְכָּא,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,21,דְיִשְׂרָאֵל,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,22,תַּרְתֵּין,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,23,שְׁנִין,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,24,קֳדָם,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,25,מֵיתֵי,,,,Jonathan,TARG
30,Amos,1,1,Amos 1:1,26,זִיעָא:,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,1,וַאֲמַר,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,2,יְיָ,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,3,מִצִיוֹן,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,4,יִכְלֵי,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,5,וּמִירוּשְׁלֵם,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,6,יָרִים,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,7,מֵימְרֵיהּ,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,8,וְיִצְדוּן,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,9,מָדוֹרֵי,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,10,מַלְכַיָא,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,11,וְיֶחֱרַב,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,12,תְּקוֹף,,,,Jonathan,TARG
30,Amos,1,2,Amos 1:2,13,כְּרַכֵּיהוֹן:,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,1,כִּדְנַן,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,2,אֲמַר,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,3,יְיָ,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,4,עַל,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,5,תְּלָתָא,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,6,חוֹבֵי,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,7,דַמֶשֶׂק,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,8,וְעַל,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,9,אַרְבְּעָה,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,10,לָא,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,11,אֶשְׁבּוֹק,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,12,לְהוֹן,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,13,עַל,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,14,דְדָשׁוּ,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,15,בְמוֹרִגֵי,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,16,בַרְזְלָא,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,17,יַת,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,18,יַתְבֵי,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,19,אֲרַע,,,,Jonathan,TARG
30,Amos,1,3,Amos 1:3,20,גִלְעָד:,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,1,וְאַשְׁלַח,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,2,אֶשְׁתָּא,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,3,בְבֵית,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,4,חֲזָאֵל,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,5,וּתְשֵׁיצֵי,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,6,בִּרְנְיַת,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,7,בַּר,,,,Jonathan,TARG
30,Amos,1,4,Amos 1:4,8,הֲדָד:,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,1,וְאֶתְּבַר,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,2,תְּקוֹף,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,3,דַמֶשֶׂק,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,4,וֶאֱשֵׁיצֵי,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,5,יָתֵיב,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,6,מִבִּקְעַת,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,7,אָוֶן,,,,Jonathan,TARG
30,Amos,1,5,Amos 1:5,8,וְעָבֵיד,,,,Jonathan,TARG
