book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
5,Deuteronomy,1,1,Deuteronomy 1:1,1,אִלֵּין,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,2,פִּתְגָּמַיָּא,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,3,דִּי,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,4,מַלִּיל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,5,משֶׁה,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,6,עִם,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,7,כָּל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,8,יִשְׂרָאֵל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,9,בְּעִבְרָא,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,10,דְּיַרְדְּנָא,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,11,אוֹכַח,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,12,יָתְהוֹן,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,13,עַל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,14,דְּחָבוּ,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,15,בְמַדְבְּרָא,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,16,וְעַל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,17,דְּאַרְגִּיזוּ,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,18,בְמֵישְׁרָא,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,19,לָקֳבֵל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,20,יַם,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,21,סוּף,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,22,בְּפָארָן,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,23,דְּאִתַּפָּלוּ,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,24,עַל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,25,מַנָּא,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,26,וּבַחֲצֵרוֹת,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,27,דְּאַרְגִּיזוּ,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,28,עַל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,29,בִּשְׂרָא,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,30,וְעַל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,31,דַּעֲבָדוּ,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,32,עֵגַל,,,,Onkelos,TARG
5,Deuteronomy,1,1,Deuteronomy 1:1,33,דִּדְהָב:,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,1,מַהֲלַךְ,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,2,חַד,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,3,עֲשַׂר,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,4,יוֹמִין,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,5,מֵחֹרֵב,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,6,אֹרַח,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,7,טוּרָא,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,8,דְשֵׂעִיר,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,9,עַד,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,10,רְקַם,,,,Onkelos,TARG
5,Deuteronomy,1,2,Deuteronomy 1:2,11,גֵּיאָה:,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,1,וַהֲוָה,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,2,בְּאַרְבְּעִין,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,3,שְׁנִין,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,4,בְּחַד,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,5,עֲשַׂר,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,6,יַרְחָא,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,7,בְּחַד,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,8,לְיַרְחָא,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,9,מַלִּיל,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,10,משֶׁה,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,11,עִם,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,12,בְּנֵי,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,13,יִשְׂרָאֵל,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,14,כְּכֹל,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,15,דִּי,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,16,פַקִּיד,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,17,יְיָ,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,18,יָתֵיהּ,,,,Onkelos,TARG
5,Deuteronomy,1,3,Deuteronomy 1:3,19,לְוָתְהוֹן:,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,1,בָּתַר,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,2,דִּמְחָא,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,3,יָת,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,4,סִיחוֹן,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,5,מַלְכָּא,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,6,דֶאֱמֹרָאָה,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,7,דְּיָתֵב,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,8,בְּחֶשְׁבּוֹן,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,9,וְיָת,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,10,עוֹג,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,11,מַלְכָּא,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,12,דְמַתְנָן,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,13,דְּיָתֵב,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,14,בְּעַשְׁתָּרֹת,,,,Onkelos,TARG
5,Deuteronomy,1,4,Deuteronomy 1:4,15,בְּאֶדְרֶעִי:,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,1,בְּעִבְרָא,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,2,דְּיַרְדְּנָא,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,3,בְּאַרְעָא,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,4,דְמוֹאָב,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,5,שָׁרִי,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,6,משֶׁה,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,7,פָּרֵשׁ,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,8,יָת,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,9,אוּלְפַן,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,10,אוֹרַיְתָא,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,11,הָדָא,,,,Onkelos,TARG
5,Deuteronomy,1,5,Deuteronomy 1:5,12,לְמֵימָר:,,,,Onkelos,TARG
5,Deuteronomy,1,6,Deuteronomy 1:6,1,יְיָ,,,,Onkelos,TARG
5,Deuteronomy,1,6,Deuteronomy 1:6,2,אֱלָהָנָא,,,,Onkelos,TARG
5,Deuteronomy,1,6,Deuteronomy 1:6,3,מַלִּיל,,,,Onkelos,TARG
5,Deuteronomy,1,6,Deuteronomy 1:6,4,עִמָּנָא,,,,Onkelos,TARG
