book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
2,Exodus,1,1,Exodus 1:1,1,וְאִלֵין,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,2,שְׁמָהַת,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,3,בְּנֵי,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,4,יִשְׂרָאֵל,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,5,דְעַלוּ,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,6,לְמִצְרָיִם,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,7,עִם,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,8,יַעֲקֹב,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,9,גְבַר,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,10,וֶאֱנַשׁ,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,11,בֵּיתֵהּ,,,,Onkelos,TARG
2,Exodus,1,1,Exodus 1:1,12,עַלוּ:,,,,Onkelos,TARG
2,Exodus,1,2,Exodus 1:2,1,רְאוּבֵן,,,,Onkelos,TARG
2,Exodus,1,2,Exodus 1:2,2,שִׁמְעוֹן,,,,Onkelos,TARG
2,Exodus,1,2,Exodus 1:2,3,לֵוִי,,,,Onkelos,TARG
2,Exodus,1,2,Exodus 1:2,4,וִיהוּדָה:,,,,Onkelos,TARG
2,Exodus,1,3,Exodus 1:3,1,יִשָּׂשׂכָר,,,,Onkelos,TARG
2,Exodus,1,3,Exodus 1:3,2,זְבוּלֻן,,,,Onkelos,TARG
2,Exodus,1,3,Exodus 1:3,3,וּבִנְיָמִין:,,,,Onkelos,TARG
2,Exodus,1,4,Exodus 1:4,1,דָן,,,,Onkelos,TARG
2,Exodus,1,4,Exodus 1:4,2,וְנַפְתָּלִי,,,,Onkelos,TARG
2,Exodus,1,4,Exodus 1:4,3,גָד,,,,Onkelos,TARG
2,Exodus,1,4,Exodus 1:4,4,וְאָשֵׁר:,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,1,וַהֲוָה,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,2,כָּל,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,3,נַפְשָׁתָא,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,4,נַפְקֵי,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,5,יַרְכָּא,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,6,דְיַעֲקֹב,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,7,שַׁבְעִין,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,8,נַפְשָׁן,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,9,וְיוֹסֵף,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,10,דַהֲוָה,,,,Onkelos,TARG
2,Exodus,1,5,Exodus 1:5,11,בְּמִצְרָיִם:,,,,Onkelos,TARG
2,Exodus,1,6,Exodus 1:6,1,וּמִית,,,,Onkelos,TARG
2,Exodus,1,6,Exodus 1:6,2,יוֹסֵף,,,,Onkelos,TARG
2,Exodus,1,6,Exodus 1:6,3,וְכָל,,,,Onkelos,TARG
2,Exodus,1,6,Exodus 1:6,4,אַחוֹהִי,,,,Onkelos,TARG
2,Exodus,1,6,Exodus 1:6,5,וְכֹל,,,,Onkelos,TARG
2,Exodus,1,6,Exodus 1:6,6,דָרָא,,,,Onkelos,TARG
2,Exodus,1,6,Exodus 1:6,7,הַהוּא:,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,1,וּבְנֵי,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,2,יִשְׂרָאֵל,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,3,נְפִישׁוּ,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,4,וְאִתְיַלָדוּ,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,5,וּסְגִיאוּ,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,6,וּתְקִיפוּ,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,7,לַחֲדָא,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,8,לַחֲדָא,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,9,וְאִתְמְלִיאַת,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,10,אַרְעָא,,,,Onkelos,TARG
2,Exodus,1,7,Exodus 1:7,11,מִנְהוֹן:,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,1,וְקָם,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,2,מַלְכָּא,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,3,חַדְתָּא,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,4,עַל,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,5,מִצְרָיִם,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,6,דְלָא,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,7,מְקַיֵם,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,8,גְזֵרַת,,,,Onkelos,TARG
2,Exodus,1,8,Exodus 1:8,9,יוֹסֵף:,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,1,וַאֲמַר,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,2,לְעַמֵהּ,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,3,הָא,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,4,עַמָא,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,5,בְּנֵי,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,6,יִשְׂרָאֵל,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,7,סָגָן,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,8,וְתַקִיפִין,,,,Onkelos,TARG
2,Exodus,1,9,Exodus 1:9,9,מִנָנָא:,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,1,הָבוּ,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,2,נִתְחַכַּם,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,3,לְהוֹן,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,4,דִלְמָא,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,5,יִסְגוּן,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,6,וִיהֵי,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,7,אֲרֵי,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,8,יְעַרְעִנָנָא,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,9,קְרָב,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,10,וְיִתּוֹסְפוּן,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,11,אַף,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,12,אִנוּן,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,13,עַל,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,14,סַנְאָנָא,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,15,וִיגִיחוּן,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,16,בָּנָא,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,17,קְרָב,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,18,וְיִסְקוּן,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,19,מִן,,,,Onkelos,TARG
2,Exodus,1,10,Exodus 1:10,20,אַרְעָא:,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,1,וּמַנִיאוּ,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,2,עֲלֵיהוֹן,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,3,שִׁלְטוֹנִין,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,4,מַבְאִישִׁין,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,5,בְּדִיל,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,6,לְעַנוֹאֵהוֹן,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,7,בְּפָלְחָנְהוֹן,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,8,וּבְנוֹ,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,9,קִרְוֵי,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,10,בֵית,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,11,אוֹצָרָא,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,12,לְפַרְעֹה,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,13,יָת,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,14,פִּיתוֹם,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,15,וְיָת,,,,Onkelos,TARG
2,Exodus,1,11,Exodus 1:11,16,רַעַמְסֵס:,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,1,וּכְמָא,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,2,דִמְעַנַן,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,3,לְהוֹן,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,4,כֵּן,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,5,סָגָן,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,6,וְכֵן,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,7,תַּקְפִין,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,8,וַעֲקַת,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,9,לְמִצְרָאֵי,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,10,מִן,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,11,קֳדָם,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,12,בְּנֵי,,,,Onkelos,TARG
2,Exodus,1,12,Exodus 1:12,13,יִשְׂרָאֵל:,,,,Onkelos,TARG
