book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
26,Ezekiel,1,1,Ezekiel 1:1,1,וַהֲוָה,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,2,בִּתְלָתִין,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,3,שְׁנִין,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,4,לִזְמַן,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,5,דְאַשְׁכַּח,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,6,חִלְקִיָה,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,7,כַּהֲנָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,8,רַבָּא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,9,סִפְרָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,10,דְאוֹרַיְתָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,11,בְּבֵית,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,12,מַקְדְשָׁא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,13,בַּעֲזַרְתָּא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,14,תְּחוֹת,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,15,אוּלָמָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,16,בְּפַלְגוּת,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,17,לֵילְיָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,18,בָּתַר,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,19,מַעֲלָנֵי,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,20,סִיהֲרָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,21,בְּיוֹמֵי,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,22,יֹאשִׁיָה,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,23,בַר,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,24,אָמוֹן,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,25,מְלַךְ,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,26,שִׁבְטָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,27,דְבֵית,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,28,יְהוּדָה,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,29,בְּתַמוּז,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,30,בְּחַמְשָׁא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,31,לְיַרְחָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,32,אֲמַר,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,33,נְבִיָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,34,וַאֲנָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,35,בְגוֹ,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,36,בְנֵי,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,37,גָלוּתָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,38,עַל,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,39,נְהַר,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,40,כְּבָר,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,41,אִתְפְּתַחוּ,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,42,שְׁמַיָא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,43,וַחֲזֵית,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,44,בְּחֵיזוּ,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,45,נְבוּאָה,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,46,דִי,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,47,שְׁרָת,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,48,עֲלֵי,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,49,חֵיזוּ,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,50,יְקָר,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,51,שְׁכִנְתָּא,,,,Jonathan,TARG
26,Ezekiel,1,1,Ezekiel 1:1,52,דַיָי:,,,,Jonathan,TARG
26,Ezekiel,1,2,Ezekiel 1:2,1,בְּחַמְשָׁא,,,,Jonathan,TARG
26,Ezekiel,1,2,Ezekiel 1:2,2,לְיַרְחָא,,,,Jonathan,TARG
26,Ezekiel,1,2,Ezekiel 1:2,3,הִיא,,,,Jonathan,TARG
26,Ezekiel,1,2,Ezekiel 1:2,4,שַׁתָּא,,,,Jonathan,TARG
26,Ezekiel,1,2,Ezekiel 1:2,5,חֲמֵשְׁתָּא,,,,Jonathan,TARG
26,Ezekiel,1,2,Ezekiel 1:2,6,לְגָלוּת,,,,Jonathan,TARG
