book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
35,Habakkuk,1,1,Habakkuk 1:1,1,מְטַל,,,,Jonathan,TARG
35,Habakkuk,1,1,Habakkuk 1:1,2,נְבוּאֲתָא,,,,Jonathan,TARG
35,Habakkuk,1,1,Habakkuk 1:1,3,דְאִתְנַבֵּי,,,,Jonathan,TARG
35,Habakkuk,1,1,Habakkuk 1:1,4,חֲבַקוּק,,,,Jonathan,TARG
35,Habakkuk,1,1,Habakkuk 1:1,5,נְבִיָא:,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,1,עַד,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,2,אֵימָתַי,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,3,יְיָ,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,4,אֲנָא,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,5,מְצַלֵי,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,6,הֲלָא,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,7,גְלֵי,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,8,קֳדָמָךְ,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,9,קָבֵילְנָא,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,10,קֳדָמָךְ,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,11,עַל,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,12,חֲטוֹפִין,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,13,הֲלָא,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,14,יוּכְלָא,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,15,קֳדָמָךְ,,,,Jonathan,TARG
35,Habakkuk,1,2,Habakkuk 1:2,16,לְמִפְרַק:,,,,Jonathan,TARG
35,Habakkuk,1,3,Habakkuk 1:3,1,לְמָא,,,,Jonathan,TARG
35,Habakkuk,1,3,Habakkuk 1:3,2,אֲנָא,,,,Jonathan,TARG
35,Habakkuk,1,3,Habakkuk 1:3,3,חָזֵי,,,,Jonathan,TARG
35,Habakkuk,1,3,Habakkuk 1:3,4,אֲנוֹסִין,,,,Jonathan,TARG
35,Habakkuk,1,3,Habakkuk 1:3,5,וּמִסְתַּכֵּיל,,,,Jonathan,TARG
35,Habakkuk,1,3,Habakkuk 1:3,6,כְּעָבְדֵי,,,,Jonathan,TARG
35,Habakkuk,1,3,Habakkuk 1:3,7,לֵיאוּת,,,,Jonathan,TARG
