book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
37,Haggai,1,1,Haggai 1:1,1,בִּשְׁנַת,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,2,תַּרְתֵּין,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,3,לְדָרְיָוֶשׁ,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,4,מַלְכָּא,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,5,בְּיַרְחָא,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,6,שְׁתִיתָאָה,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,7,בְּיוֹמָא,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,8,חַד,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,9,לְיַרְחָא,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,10,הֲוָה,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,11,פִּתְגַם,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,12,נְבוּאָה,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,13,מִן,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,14,קֳדָם,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,15,יְיָ,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,16,בְּיַד,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,17,חַגַי,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,18,נְבִיָא,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,19,לְוַת,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,20,זְרֻבָּבֶל,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,21,בַּר,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,22,שְׁאַלְתִּיאֵל,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,23,רַבָּא,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,24,דְבֵית,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,25,יְהוּדָה,,,,Jonathan,TARG
37,Haggai,1,1,Haggai 1:1,26,וּלְוַת,,,,Jonathan,TARG
