book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
28,Hosea,1,1,Hosea 1:1,1,פִּתְגַם,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,2,נְבוּאָה,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,3,מִן,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,4,קֳדָם,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,5,יְיָ,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,6,דַהֲוָה,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,7,עִם,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,8,הוֹשֵׁעַ,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,9,בַּר,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,10,בְּאֵרִי,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,11,בְּיוֹמֵי,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,12,עֻזִיָה,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,13,יוֹתָם,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,14,אָחָז,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,15,יְחִזְקִיָה,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,16,מַלְכַיָא,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,17,דְבֵית,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,18,יְהוּדָה,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,19,וּבִימֵי,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,20,יָרָבְעָם,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,21,בַּר,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,22,יוֹאָשׁ,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,23,מַלְכָּא,,,,Jonathan,TARG
28,Hosea,1,1,Hosea 1:1,24,דְיִשְׂרָאֵל:,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,1,שְׁרָיוּת,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,2,פִּתְגָמָא,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,3,דַייָ,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,4,בְּהוֹשֵׁעַ,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,5,וַאֲמַר,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,6,יְיָ,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,7,לְהוֹשֵׁעַ,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,8,אֱזֵיל,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,9,אִתְנַבֵּי,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,10,נְבוּאָה,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,11,עַל,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,12,יָתְבֵי,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,13,קַרְתָּא,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,14,טַעֲוָתָא,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,15,דְאִינוּן,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,16,מוֹסִיפִין,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,17,לְמֶחְטֵי,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,18,אֲרֵי,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,19,מִטְעָא,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,20,יִטְעוּן,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,21,דַיְרֵי,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,22,אַרְעָא,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,23,מִבָּתַר,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,24,פּוּלְחָנָא,,,,Jonathan,TARG
28,Hosea,1,2,Hosea 1:2,25,דַיָי:,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,1,וַאֲזֵל,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,2,וְאִתְנַבֵּי,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,3,עֲלֵיהוֹן,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,4,דְאִם,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,5,יְתוּבוּן,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,6,יִשְׁתְּבֵיק,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,7,לְהוֹן,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,8,וְאִם,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,9,לָא,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,10,כִּמְתַּר,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,11,עֲלֵי,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,12,תֵינִין,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,13,יִתְּרוּן,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,14,וְאוֹסִיפוּ,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,15,וַעֲבְדוּ,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,16,עוֹבָדִין,,,,Jonathan,TARG
28,Hosea,1,3,Hosea 1:3,17,בִּישִׁין:,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,1,וַאֲמַר,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,2,יְיָ,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,3,לֵיהּ,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,4,קְרָא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,5,שׁוּמְהוֹן,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,6,מְבַדְרַיָא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,7,אֲרֵי,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,8,עוֹד,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,9,צִבְחַר,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,10,כִּזְעֵיר,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,11,וְאַסְעַר,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,12,דַם,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,13,פָּלְחֵי,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,14,טַעֲוָתָא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,15,דַאֲשַׁד,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,16,יֵהוּא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,17,בְּיִזְרְעֶאל,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,18,דְקַטְלִינוּן,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,19,עַל,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,20,דִפְלָחוּ,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,21,לְבַעֲלָא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,22,תָּבוּ,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,23,אִינוּן,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,24,לְמִטְעֵי,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,25,בְּתַר,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,26,עֶגְלַיָא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,27,דִבְבֵית,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,28,אֵל,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,29,בְּכֵן,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,30,אֲחַשְׁבִינֵיהּ,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,31,דַם,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,32,זַכַּאי,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,33,עַל,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,34,בֵּית,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,35,יֵהוּא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,36,וַאֲבַטֵיל,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,37,מַלְכוּתָא,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,38,מִבֵּית,,,,Jonathan,TARG
28,Hosea,1,4,Hosea 1:4,39,יִשְׂרָאֵל:,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,1,וִיהֵי,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,2,בְּעִדָנָא,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,3,הַהִיא,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,4,וַאֶתְּבַר,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,5,יַת,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,6,תְּקוֹף,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,7,עָבְדֵי,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,8,קְרָב,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,9,יִשְׂרָאֵל,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,10,בְּמֵישַׁר,,,,Jonathan,TARG
28,Hosea,1,5,Hosea 1:5,11,יִזְרְעֶאל:,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,1,וְאוֹסִיפוּ,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,2,וַעֲבַדוּ,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,3,עוֹבָדִין,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,4,בִּישִׁין,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,5,וַאֲמַר,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,6,לֵיהּ,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,7,קְרֵי,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,8,שׁוּמְהוֹן,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,9,דְלָא,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,10,רְחִימִין,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,11,בְּעוֹבָדֵיהוֹן,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,12,אֲרֵי,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,13,לָא,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,14,אוֹסִיף,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,15,עוֹד,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,16,לְרָחָמָא,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,17,עַל,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,18,בֵּית,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,19,יִשְׂרָאֵל,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,20,בְּרַם,,,,Jonathan,TARG
28,Hosea,1,6,Hosea 1:6,21,אִם,,,,Jonathan,TARG
