book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
23,Isaiah,1,1,Isaiah 1:1,1,נְבוּאַת,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,2,יְשַׁעְיָה,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,3,בַר,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,4,אָמוֹץ,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,5,דְאִתְנַבֵּי,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,6,עַל,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,7,אֱנַשׁ,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,8,יְהוּדָה,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,9,וְיָתְבֵי,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,10,יְרוּשְׁלֵם,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,11,בִּימֵי,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,12,עֻזִיָה,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,13,יוֹתָם,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,14,אָחָז,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,15,יְחִזְקִיָהוּ,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,16,מַלְכַיָא,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,17,דְבֵית,,,,Jonathan,TARG
23,Isaiah,1,1,Isaiah 1:1,18,יְהוּדָה:,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,1,שְׁמַעוּ,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,2,שְׁמַיָא,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,3,דְזָעוּ,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,4,כַּד,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,5,יְהָבִית,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,6,אוֹרַיְתִי,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,7,לְעַמִי,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,8,וַאֲצִיתִי,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,9,אַרְעָא,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,10,דְאִתְרְגִישַׁת,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,11,מִן,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,12,קֳדָם,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,13,פִּתְגָמַי,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,14,אֲרֵי,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,15,יְיָ,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,16,מַלֵיל,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,17,עִמִי,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,18,בֵּית,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,19,יִשְׂרָאֵל,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,20,קְרִיתִי,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,21,לְהוֹן,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,22,בְּנִין,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,23,חֲבַבְתִּינוּן,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,24,וִיקַרְתִּנּוּן,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,25,וְאִנוּן,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,26,מְרַדוּ,,,,Jonathan,TARG
23,Isaiah,1,2,Isaiah 1:2,27,בְמֵימְרִי:,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,1,יְדַע,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,2,תּוֹרָא,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,3,זָבְּנֵיהּ,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,4,וַחֲמָרָא,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,5,אוֹרְיָא,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,6,דִמְרוֹהִי,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,7,יִשְׂרָאֵל,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,8,לָא,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,9,אֲלִיף,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,10,לְמִדַע,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,11,דְחַלְתִּי,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,12,עַמָא,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,13,לָא,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,14,אִסְתַּכֵּל,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,15,לְמֵתָב,,,,Jonathan,TARG
23,Isaiah,1,3,Isaiah 1:3,16,לְאוֹרַיְתִי:,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,1,וַי,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,2,עַל,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,3,דְאִתְקְרִיאוּ,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,4,עַם,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,5,קַדִישׁ,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,6,וַחֲטוֹ,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,7,כְּנִישָׁא,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,8,בְחִירָא,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,9,וְאַסְגִיאוּ,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,10,חוֹבִין,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,11,אִתְכְּנִיאוּ,,,,Jonathan,TARG
23,Isaiah,1,4,Isaiah 1:4,12,בְזַרְעָא,,,,Jonathan,TARG
