book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
24,Jeremiah,1,1,Jeremiah 1:1,1,פִּתְגָמֵי,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,2,נְבוּאַת,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,3,יִרְמִיָהוּ,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,4,בַּר,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,5,חִלְקִיָהוּ,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,6,מִן,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,7,רֵישֵׁי,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,8,מַטְרַת,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,9,כַּהֲנַיָא,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,10,מִן,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,11,אִמַרְכְּלַיָא,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,12,דַהֲווֹ,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,13,בִירוּשְׁלֵם,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,14,גַבְרָא,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,15,דְקַבֵּל,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,16,אַחְסַנְתֵּיהּ,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,17,בַּעֲנָתוֹת,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,18,בַּאֲרַע,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,19,שִׁבְטָא,,,,Jonathan,TARG
24,Jeremiah,1,1,Jeremiah 1:1,20,בִנְיָמִן:,,,,Jonathan,TARG
24,Jeremiah,1,2,Jeremiah 1:2,1,דַהֲוָה,,,,Jonathan,TARG
24,Jeremiah,1,2,Jeremiah 1:2,2,פִּתְגָם,,,,Jonathan,TARG
24,Jeremiah,1,2,Jeremiah 1:2,3,נְבוּאָה,,,,Jonathan,TARG
24,Jeremiah,1,2,Jeremiah 1:2,4,מִן,,,,Jonathan,TARG
24,Jeremiah,1,2,Jeremiah 1:2,5,קֳדָם,,,,Jonathan,TARG
