book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
29,Joel,1,1,Joel 1:1,1,פִּתְגַם,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,2,נְבוּאָה,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,3,מִן,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,4,קֳדָם,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,5,יְיָ,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,6,דַהֲוָה,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,7,עִם,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,8,יוֹאֵל,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,9,בַּר,,,,Jonathan,TARG
29,Joel,1,1,Joel 1:1,10,פְּתוּאֵל:,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,1,שְׁמַעוּ,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,2,דָא,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,3,סְבַיָא,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,4,וְאַצִיתוּ,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,5,כֹּל,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,6,יָתְבֵי,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,7,אַרְעָא,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,8,הֶהֶוָת,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,9,דָא,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,10,בְּיוֹמֵיכוֹן,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,11,וְאִם,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,12,בְּיוֹמֵי,,,,Jonathan,TARG
29,Joel,1,2,Joel 1:2,13,אֲבָהַתְכוֹן:,,,,Jonathan,TARG
29,Joel,1,3,Joel 1:3,1,עֲלָהּ,,,,Jonathan,TARG
29,Joel,1,3,Joel 1:3,2,לִבְנֵיכוֹן,,,,Jonathan,TARG
