book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
32,Jonah,1,1,Jonah 1:1,1,וַהֲוָה,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,2,פִּתְגַם,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,3,נְבוּאָה,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,4,מִן,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,5,קֳדָם,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,6,יְיָ,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,7,עִם,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,8,יוֹנָה,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,9,בַר,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,10,אֲמִתַּי,,,,Jonathan,TARG
32,Jonah,1,1,Jonah 1:1,11,לְמֵימָר:,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,1,קוּם,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,2,אֱזֵיל,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,3,לְנִינְוֵה,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,4,קַרְתָּא,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,5,רַבְּתָא,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,6,וְאִתְנַבֵּי,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,7,עַלָהּ,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,8,אֲרֵי,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,9,סְלִיקַת,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,10,בִּישַׁתְהוֹן,,,,Jonathan,TARG
32,Jonah,1,2,Jonah 1:2,11,קֳדָמָי:,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,1,וְקָם,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,2,יוֹנָה,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,3,לְמֶעְרַק,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,4,לְיַמָא,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,5,מִן,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,6,קֳדָם,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,7,דְאִתְנַבֵּי,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,8,בִּשְׁמָא,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,9,דַייָ,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,10,וּנְחַת,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,11,לְיָפוֹ,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,12,וְאַשְׁכַּח,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,13,אִילְפָא,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,14,דַאֲזָלָא,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,15,לְיַמָא,,,,Jonathan,TARG
32,Jonah,1,3,Jonah 1:3,16,וִיהַב,,,,Jonathan,TARG
