book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
6,Joshua,1,1,Joshua 1:1,1,וַהֲוָה,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,2,בָּתַר,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,3,דְמִית,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,4,מֹשֶׁה,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,5,עַבְדָא,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,6,דַייָ,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,7,וַאֲמַר,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,8,יְיָ,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,9,לִיהוֹשֻׁעַ,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,10,בַּר,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,11,נוּן,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,12,מְשַׁמְשׁוּנֵיהּ,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,13,דְמֹשֶׁה,,,,Jonathan,TARG
6,Joshua,1,1,Joshua 1:1,14,לְמֵימָר:,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,1,מֹשֶׁה,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,2,עַבְדִי,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,3,מִית,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,4,וּכְעַן,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,5,קוּם,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,6,עִיבַּר,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,7,יַת,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,8,יַרְדְנָא,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,9,הָדֵין,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,10,אַתְּ,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,11,וְכָל,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,12,עַמָא,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,13,הָדֵין,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,14,לְאַרְעָא,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,15,דַאֲנָא,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,16,יְהִיב,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,17,לְהוֹן,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,18,לִבְנֵי,,,,Jonathan,TARG
6,Joshua,1,2,Joshua 1:2,19,יִשְׂרָאֵל:,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,1,כָּל,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,2,אַתְרָא,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,3,דְתִדְרַךְ,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,4,פַּרְסַת,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,5,רַגְלְכוֹן,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,6,בֵּיהּ,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,7,לְכוֹן,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,8,יְהַבִתָהּ,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,9,כְּמָא,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,10,דְמַלֵילִית,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,11,עִם,,,,Jonathan,TARG
6,Joshua,1,3,Joshua 1:3,12,מֹשֶׁה:,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,1,מִמַדְבְּרָא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,2,וּלְבָנוֹנָא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,3,הָדֵין,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,4,וְעַד,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,5,נַהֲרָא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,6,רַבָּא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,7,נַהֲרָא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,8,דִפְרָת,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,9,כֹּל,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,10,אַרַע,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,11,חִתָּאֵי,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,12,וְעַד,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,13,יַמָא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,14,רַבָּא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,15,מַעֲלָנֵי,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,16,שִׁמְשָׁא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,17,יְהֵא,,,,Jonathan,TARG
6,Joshua,1,4,Joshua 1:4,18,תְחוּמְכוֹן:,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,1,לָא,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,2,יִתְעַתַּד,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,3,אֱנָשׁ,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,4,קֳדָמָךְ,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,5,כָּל,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,6,יוֹמֵי,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,7,חַיָיךְ,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,8,כְּמָא,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,9,דַהֲוָא,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,10,מֵימְרִי,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,11,בְּסַעֲדֵיהּ,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,12,דְמֹשֶׁה,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,13,כֵּן,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,14,אֶהֱוֵי,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,15,עִמָךְ,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,16,לָא,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,17,אַשְׁבְּקִינָךְ,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,18,וְלָא,,,,Jonathan,TARG
6,Joshua,1,5,Joshua 1:5,19,אַרְחְקִינָךְ:,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,1,תְּקֵיף,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,2,וַעְלַם,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,3,אֲרֵי,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,4,אַתְּ,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,5,תַּחְסֵין,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,6,יַת,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,7,עַמָא,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,8,הָדֵין,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,9,יַת,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,10,אַרְעָא,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,11,דְקַיֵימִית,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,12,לַאֲבָהַתְהוֹן,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,13,לְמִתַּן,,,,Jonathan,TARG
6,Joshua,1,6,Joshua 1:6,14,לְהוֹן:,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,1,לְחוֹד,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,2,תְּקֵיף,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,3,וֶעְלֵם,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,4,לַחֲדָא,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,5,לְמִטַר,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,6,לְמֶעְבַּד,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,7,כְּכָל,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,8,אוֹרַיְתָא,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,9,דְפַקְדָךְ,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,10,מֹשֶׁה,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,11,עַבְדִי,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,12,לָא,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,13,תִסְטֵי,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,14,מִינֵיהּ,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,15,לְיַמִינָא,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,16,וְלִשְׂמָאלָא,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,17,בְּדִיל,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,18,דְתִצְלַח,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,19,בְּכָל,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,20,אֲתַר,,,,Jonathan,TARG
6,Joshua,1,7,Joshua 1:7,21,דִתְהָךְ:,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,1,לָא,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,2,יַעְדֵי,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,3,סִיפְרָא,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,4,דְאוֹרַיְתָא,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,5,הָדֵין,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,6,מִפּוּמָךְ,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,7,וּתְהֵי,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,8,הֲגֵי,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,9,בֵּיהּ,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,10,יֵימָם,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,11,וְלֵילְיָא,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,12,בְּדִיל,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,13,דְתִטַר,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,14,לְמֶעְבַּד,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,15,כְּכָל,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,16,דִכְתִיב,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,17,בֵּיהּ,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,18,אֲרֵי,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,19,בְּכֵן,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,20,תַּצְלַח,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,21,יַת,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,22,דַרְכָּךְ,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,23,וּבְכֵן,,,,Jonathan,TARG
6,Joshua,1,8,Joshua 1:8,24,תַּכְשָׁט:,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,1,הֲלָא,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,2,פַקֵידְתָּךְ,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,3,תְּקֵף,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,4,וֶעְלֵם,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,5,לָא,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,6,תִדְחַל,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,7,וְלָא,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,8,תִתְּבַר,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,9,אֲרֵי,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,10,בְּסַעֲדָךְ,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,11,מֵימְרָא,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,12,דַייָ,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,13,אֱלָהָךְ,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,14,בְּכָל,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,15,אֲתַר,,,,Jonathan,TARG
6,Joshua,1,9,Joshua 1:9,16,דִתְהָךְ:,,,,Jonathan,TARG
6,Joshua,1,10,Joshua 1:10,1,וּפַקֵיד,,,,Jonathan,TARG
6,Joshua,1,10,Joshua 1:10,2,יְהוֹשֻׁעַ,,,,Jonathan,TARG
6,Joshua,1,10,Joshua 1:10,3,יַת,,,,Jonathan,TARG
6,Joshua,1,10,Joshua 1:10,4,סַרְכֵי,,,,Jonathan,TARG
6,Joshua,1,10,Joshua 1:10,5,עַמָא,,,,Jonathan,TARG
6,Joshua,1,10,Joshua 1:10,6,לְמֵימָר:,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,1,עִבָרוּ,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,2,בְּגוֹ,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,3,מַשְׁרִיתָא,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,4,וּפַקִידוּ,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,5,יַת,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,6,עַמָא,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,7,לְמֵימָר,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,8,אַתְקִינוּ,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,9,לְכוֹן,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,10,זְוָדִין,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,11,אֲרֵי,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,12,בְּסוֹף,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,13,תְּלָתָא,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,14,יוֹמִין,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,15,אַתּוּן,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,16,עָבְרִין,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,17,יַת,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,18,יַרְדְנָא,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,19,הָדֵין,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,20,לְמֵיעַל,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,21,לְמֵירַת,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,22,יַת,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,23,אַרְעָא,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,24,דַייָ,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,25,אֱלָהָכוֹן,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,26,יָהֵיב,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,27,לְכוֹן,,,,Jonathan,TARG
6,Joshua,1,11,Joshua 1:11,28,לְמִירְתָהּ:,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,1,וּלְשֵׁבֶט,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,2,רְאוּבֵן,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,3,וּלְשֵׁבֶט,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,4,גָד,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,5,וּלְפַלְגוּת,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,6,שִׁבְטָא,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,7,דִמְנַשֶׁה,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,8,אֲמַר,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,9,יְהוֹשֻׁעַ,,,,Jonathan,TARG
6,Joshua,1,12,Joshua 1:12,10,לְמֵימָר:,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,1,הֲווֹ,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,2,דְכִירִין,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,3,יַת,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,4,פִּתְגָמָא,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,5,דִפַקֵיד,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,6,יַתְכוֹן,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,7,מֹשֶׁה,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,8,עַבְדָא,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,9,דַייָ,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,10,לְמֵימָר,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,11,יְיָ,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,12,אֱלָהָכוֹן,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,13,מַנִיחַ,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,14,לְכוֹן,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,15,וִיהַב,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,16,לְכוֹן,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,17,יַת,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,18,אַרְעָא,,,,Jonathan,TARG
6,Joshua,1,13,Joshua 1:13,19,הָדָא:,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,1,נְשֵׁיכוֹן,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,2,טַפְלֵיכוֹן,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,3,וּבְעִירְכוֹן,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,4,יֵתְבוּן,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,5,בְּאַרְעָא,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,6,דִיהַב,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,7,לְכוֹן,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,8,מֹשֶׁה,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,9,בְּעִבְרָא,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,10,דְיַרְדְנָא,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,11,וְאַתּוּן,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,12,תְעָבְרוּן,,,,Jonathan,TARG
6,Joshua,1,14,Joshua 1:14,13,מְזָרְזִין,,,,Jonathan,TARG
