book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
7,Judges,1,1,Judges 1:1,1,וַהֲוָה,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,2,בָּתַר,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,3,דְמִית,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,4,יְהוֹשֻׁעַ,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,5,וּשְׁאִילוּ,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,6,בְּנֵי,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,7,יִשְׂרָאֵל,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,8,בְּמֵימְרָא,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,9,דַייָ,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,10,לְמֵימַר,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,11,מַן,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,12,יִסַק,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,13,לָנָא,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,14,לְוַת,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,15,כְּנַעֲנָאָה,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,16,בְּקַדְמֵיתָא,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,17,לְאַגָחָא,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,18,קְרָבָא,,,,Jonathan,TARG
7,Judges,1,1,Judges 1:1,19,בֵּיהּ:,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,1,וַאֲמַר,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,2,יְיָ,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,3,יְהוּדָה,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,4,יִסַק,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,5,הָא,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,6,מַסְרִית,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,7,יַת,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,8,יַתְבֵי,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,9,אַרְעָא,,,,Jonathan,TARG
7,Judges,1,2,Judges 1:2,10,בִּידֵיהּ:,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,1,וַאֲמַר,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,2,יְהוּדָה,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,3,לְשִׁמְעוֹן,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,4,אֲחוּהִי,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,5,סַק,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,6,עִמִי,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,7,בְּעַדְבִי,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,8,וּנְגִיחַ,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,9,קְרָבָא,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,10,עִם,,,,Jonathan,TARG
7,Judges,1,3,Judges 1:3,11,כְּנַעֲנָאָה,,,,Jonathan,TARG
