book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
3,Leviticus,1,1,Leviticus 1:1,1,וּקְרָא,,,,Onkelos,TARG
3,Leviticus,1,1,Leviticus 1:1,2,לְמשֶׁה,,,,Onkelos,TARG
3,Leviticus,1,1,Leviticus 1:1,3,וּמַלֵּיל,,,,Onkelos,TARG
3,Leviticus,1,1,Leviticus 1:1,4,יְיָ,,,,Onkelos,TARG
3,Leviticus,1,1,Leviticus 1:1,5,עִמֵּיהּ,,,,Onkelos,TARG
3,Leviticus,1,1,Leviticus 1:1,6,מִמַּשְׁכַּן,,,,Onkelos,TARG
3,Leviticus,1,1,Leviticus 1:1,7,זִמְנָא,,,,Onkelos,TARG
3,Leviticus,1,1,Leviticus 1:1,8,לְמֵימָר:,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,1,מַלֵּיל,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,2,עִם,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,3,בְּנֵי,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,4,יִשְׂרָאֵל,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,5,וְתֵימַר,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,6,לְהוֹן,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,7,אֱנַשׁ,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,8,אֲרֵי,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,9,יְקָרֵיב,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,10,מִנְּכוֹן,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,11,קֻרְבָּנָא,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,12,קֳדָם,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,13,יְיָ,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,14,מִן,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,15,בְּעִירָא,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,16,מִן,,,,Onkelos,TARG
3,Leviticus,1,2,Leviticus 1:2,17,תּוֹרֵי,,,,Onkelos,TARG
