book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
39,Malachi,1,1,Malachi 1:1,1,מַטַל,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,2,פִּתְגָמָא,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,3,דַייָ,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,4,עַל,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,5,יִשְׂרָאֵל,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,6,בְּיַד,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,7,מַלְאֲכֵי,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,8,דְיִתְקְרֵי,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,9,שְׁמֵיהּ,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,10,עֶזְרָא,,,,Jonathan,TARG
39,Malachi,1,1,Malachi 1:1,11,סַפְרָא:,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,1,רְחִימֵית,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,2,יַתְכוֹן,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,3,אֲמַר,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,4,יְיָ,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,5,וְאִם,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,6,תֵּימְרוּן,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,7,בְּמָא,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,8,רְחִימְתָּנָא,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,9,הֲלָא,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,10,אָח,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,11,עֵשָׂו,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,12,לְיַעֲקֹב,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,13,אֲמַר,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,14,יְיָ,,,,Jonathan,TARG
39,Malachi,1,2,Malachi 1:2,15,וּרְחִימַת,,,,Jonathan,TARG
