book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
33,Micah,1,1,Micah 1:1,1,פִּתְגַם,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,2,נְבוּאָה,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,3,מִן,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,4,קֳדָם,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,5,יְיָ,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,6,דִי,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,7,הֲוָה,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,8,עִם,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,9,מִיכָה,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,10,מִמָרֵשָׁה,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,11,בְּיוֹמֵי,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,12,יוֹתָם,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,13,אָחָז,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,14,יְחִזְקִיָה,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,15,מַלְכַיָא,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,16,דְבֵית,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,17,יְהוּדָה,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,18,דְאִתְנַבֵּי,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,19,עַל,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,20,שֹׁמְרוֹן,,,,Jonathan,TARG
33,Micah,1,1,Micah 1:1,21,וִירוּשְׁלֵם:,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,1,שְׁמָעוּ,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,2,עַמְמַיָא,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,3,כוּלְהוֹן,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,4,אֲצִיתֵי,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,5,אַרְעָא,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,6,וּמְלָהָא,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,7,וִיהֵי,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,8,מֵימְרָא,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,9,דַייָ,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,10,אֱלֹהִים,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,11,בְּכוֹן,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,12,לְסָהִיד,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,13,יְיָ,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,14,מֵהֵיכְלָא,,,,Jonathan,TARG
33,Micah,1,2,Micah 1:2,15,דְקוּדְשֵׁיהּ:,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,1,אֲרֵי,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,2,הָא,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,3,יְיָ,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,4,מִתְגְלֵי,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,5,מֵאֲתַר,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,6,בֵּית,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,7,שְׁכִינְתֵּיהּ,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,8,וְיִתְגְלֵי,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,9,וְיִרְמוֹס,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,10,יַת,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,11,תּוּקְפֵי,,,,Jonathan,TARG
33,Micah,1,3,Micah 1:3,12,אַרְעָא:,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,1,וְיִתְמְסוּן,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,2,טוּרַיָא,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,3,תְּחוֹתוֹהִי,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,4,וּמֵשְׁרַיָא,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,5,יִתְבַּזְעוּן,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,6,כְּשָׁעִיתָא,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,7,מִן,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,8,קֳדָם,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,9,נוּרָא,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,10,כְּמַיָא,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,11,דְאַשִׁידִין,,,,Jonathan,TARG
33,Micah,1,4,Micah 1:4,12,בְּמוֹדְרוֹן:,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,1,בְּחוֹבֵי,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,2,בֵּית,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,3,יַעֲקֹב,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,4,כָּל,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,5,דָא,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,6,וּבְחֵטְא,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,7,דְבֵית,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,8,יִשְׂרָאֵל,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,9,הֵיכָא,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,10,חָבוּ,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,11,דְבֵית,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,12,יַעֲקֹב,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,13,הֲלָא,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,14,בְשֹׁמְרוֹן,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,15,וְהֵיכָא,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,16,חֲטוֹ,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,17,דְבֵית,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,18,יְהוּדָה,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,19,הֲלָא,,,,Jonathan,TARG
33,Micah,1,5,Micah 1:5,20,בִּירוּשְׁלֵם:,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,1,וַאֲשַׁוֵי,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,2,שֹׁמְרוֹן,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,3,לְיַגְרֵי,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,4,חַקְלָן,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,5,בֵּית,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,6,צָדוּת,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,7,מַצְבַת,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,8,כְּרַם,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,9,וְאֶרְמֵי,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,10,לְחֵילָתָא,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,11,אַבְנָהָא,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,12,וְאַיְשָׁהָא,,,,Jonathan,TARG
33,Micah,1,6,Micah 1:6,13,אֶגְלֵי:,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,1,וְכָל,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,2,צַלְמָנָהָא,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,3,יִדְקְרוּן,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,4,וְכָל,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,5,טַעֲוָתָהָא,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,6,יִתּוֹקְדוּן,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,7,בְּנוּרָא,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,8,וְכָל,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,9,בָּתֵּי,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,10,דַחֲלָתָהָא,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,11,אֲשַׁוֵי,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,12,לְצָדוּ,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,13,אֲרֵי,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,14,מַאֲגַר,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,15,זַנְיָתָא,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,16,אִתְכְּנָשׁוּ,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,17,וּלְבֵית,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,18,פָּלְחֵי,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,19,טַעֲוָתָהָא,,,,Jonathan,TARG
33,Micah,1,7,Micah 1:7,20,יִתְמַסְרוּן:,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,1,עַל,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,2,דָא,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,3,יִסְפְּדוּן,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,4,וְיֵלִילוּן,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,5,יְהָכוּן,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,6,בְּשׁוּלְלַיָא,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,7,עַרְטִילָאִין,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,8,יַעַבְּדוּן,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,9,מִסְפְּדָא,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,10,כִּירוֹדִין,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,11,וְאֵיבְלָא,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,12,כִּבְנַת,,,,Jonathan,TARG
33,Micah,1,8,Micah 1:8,13,נַעֲמִין:,,,,Jonathan,TARG
33,Micah,1,9,Micah 1:9,1,אֲרֵי,,,,Jonathan,TARG
