book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
34,Nahum,1,1,Nahum 1:1,1,מְטַל,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,2,כַּס,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,3,דִלְוָט,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,4,לְאַשְׁקָאָה,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,5,יַת,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,6,נִינְוֵה,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,7,מִלְקָדְמִין,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,8,אִתְנַבֵּי,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,9,עֲלָהּ,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,10,יוֹנָה,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,11,בַּר,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,12,אֲמִתַּי,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,13,נְבִיָא,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,14,דְמִגַת,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,15,חֵפֶר,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,16,וְתָבַת,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,17,מֵחוֹבָהָא,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,18,וּכְדוֹ,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,19,דְאוֹסִיפַת,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,20,לְמֶחֱטֵי,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,21,תַּב,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,22,וְאִתְנַבֵּי,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,23,עֲלָהּ,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,24,נָחוּם,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,25,מִבֵּית,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,26,קוֹשִׁי,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,27,כְּמָא,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,28,דִכְתִיב,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,29,בְּסִפְרָא,,,,Jonathan,TARG
34,Nahum,1,1,Nahum 1:1,30,הָדֵין:,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,1,אֱלָהָא,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,2,דַיָן,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,3,וּפוּרְעָן,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,4,יְיָ,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,5,מִתְפְּרַע,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,6,יְיָ,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,7,וּסְגִי,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,8,חֵילָא,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,9,קֳדָמוֹהִי,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,10,עֲתִיד,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,11,יְיָ,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,12,לְאִתְפְּרַע,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,13,מִסָנְאֵי,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,14,עַמֵיהּ,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,15,וּבִרְגַז,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,16,חֲסִין,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,17,מִבַּעֲלֵי,,,,Jonathan,TARG
34,Nahum,1,2,Nahum 1:2,18,דְבָבוֹהִי:,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,1,יְיָ,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,2,מַרְחֵיק,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,3,רְגַז,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,4,וּסְגִי,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,5,חֵילָא,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,6,קֳדָמוֹהִי,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,7,עֲתִיד,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,8,יְיָ,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,9,לְאִתְפְּרַע,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,10,וּסְלַח,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,11,לִדְתַיְבִין,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,12,לְאוֹרַיְתָא,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,13,לִדְלָא,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,14,תַיְבִין,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,15,לָא,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,16,מְזַכֵּי,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,17,יְיָ,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,18,בְּעַלְעוֹלָא,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,19,וּבְרוּחַ,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,20,מְדַבֵּר,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,21,וַעֲנַן,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,22,אֲמִיטְתָא,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,23,כַּבֵּישׁ,,,,Jonathan,TARG
34,Nahum,1,3,Nahum 1:3,24,קֳדָמוֹהִי:,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,1,דִנְזִיף,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,2,בְּיַמָא,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,3,וּמְיַבֵּשׁ,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,4,לֵיהּ,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,5,וְכָל,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,6,נְהַרְוָתָא,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,7,מַחֲרֵיב,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,8,צְדֵי,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,9,מַתְנָן,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,10,וְכַרְמֵלָא,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,11,וְאִילָנֵי,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,12,לִבְנָן,,,,Jonathan,TARG
34,Nahum,1,4,Nahum 1:4,13,נְתָרוּ:,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,1,טוּרַיָא,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,2,זָעוּ,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,3,מִן,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,4,קֳדָמוֹהִי,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,5,וְרָמָתָא,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,6,אִתְפְּרָקָא,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,7,וַחֲרוֹכַת,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,8,אַרְעָא,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,9,מִן,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,10,קֳדָמוֹהִי,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,11,וְתֵבֵל,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,12,וְכָל,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,13,דְיָתְבִין,,,,Jonathan,TARG
34,Nahum,1,5,Nahum 1:5,14,בָּהּ:,,,,Jonathan,TARG
