book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
4,Numbers,1,1,Numbers 1:1,1,וּמַלִּיל,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,2,יְיָ,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,3,עִם,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,4,משֶׁה,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,5,בְּמַדְבְּרָא,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,6,דְסִינַי,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,7,בְּמַשְׁכַּן,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,8,זִמְנָא,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,9,בְּחַד,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,10,לְיַרְחָא,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,11,תִנְיָנָא,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,12,בְּשַׁתָּא,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,13,תִנְיֵתָא,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,14,לְמִפַּקְהוֹן,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,15,מֵאַרְעָא,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,16,דְמִצְרַיִם,,,,Onkelos,TARG
4,Numbers,1,1,Numbers 1:1,17,לְמֵימָר:,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,1,קַבִּילוּ,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,2,יָת,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,3,חֻשְׁבַּן,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,4,כָּל,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,5,כְּנִשְׁתָּא,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,6,דִבְנֵי,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,7,יִשְׂרָאֵל,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,8,לְזַרְעֲיַתְהוֹן,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,9,לְבֵית,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,10,אֲבָהַתְהוֹן,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,11,בְּמִנְיַן,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,12,שְׁמָהָן,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,13,כָּל,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,14,דְּכוּרָא,,,,Onkelos,TARG
4,Numbers,1,2,Numbers 1:2,15,לְגֻלְגְּלַתְהוֹן:,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,1,מִבַּר,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,2,עַשְׂרִין,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,3,שְׁנִין,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,4,וּלְעֵלָּא,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,5,כָּל,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,6,נָפֵק,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,7,חֵילָא,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,8,בְּיִשְׂרָאֵל,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,9,תִּמְנוּן,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,10,יָתְהוֹן,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,11,לְחֵילֵיהוֹן,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,12,אַתְּ,,,,Onkelos,TARG
4,Numbers,1,3,Numbers 1:3,13,וְאַהֲרֹן:,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,1,וְעִמְּכוֹן,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,2,יְהוֹן,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,3,גַּבְרָא,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,4,גַבְרָא,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,5,לְשִׁבְטָא,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,6,גְּבַר,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,7,רֵישׁ,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,8,לְבֵית,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,9,אֲבָהָתוֹהִי,,,,Onkelos,TARG
4,Numbers,1,4,Numbers 1:4,10,הוּא:,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,1,וְאִלֵּין,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,2,שְׁמָהַת,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,3,גֻּבְרַיָּא,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,4,דִּי,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,5,יְקוּמוּן,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,6,עִמְּכוֹן,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,7,לִרְאוּבֵן,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,8,אֱלִיצוּר,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,9,בַּר,,,,Onkelos,TARG
4,Numbers,1,5,Numbers 1:5,10,שְׁדֵיאוּר:,,,,Onkelos,TARG
4,Numbers,1,6,Numbers 1:6,1,לְשִׁמְעוֹן,,,,Onkelos,TARG
4,Numbers,1,6,Numbers 1:6,2,שְׁלֻמִיאֵל,,,,Onkelos,TARG
4,Numbers,1,6,Numbers 1:6,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,6,Numbers 1:6,4,צוּרִישַׁדָּי:,,,,Onkelos,TARG
4,Numbers,1,7,Numbers 1:7,1,לִיהוּדָה,,,,Onkelos,TARG
4,Numbers,1,7,Numbers 1:7,2,נַחְשׁוֹן,,,,Onkelos,TARG
4,Numbers,1,7,Numbers 1:7,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,7,Numbers 1:7,4,עַמִּינָדָב:,,,,Onkelos,TARG
4,Numbers,1,8,Numbers 1:8,1,לְיִשָּׂשכָר,,,,Onkelos,TARG
4,Numbers,1,8,Numbers 1:8,2,נְתַנְאֵל,,,,Onkelos,TARG
4,Numbers,1,8,Numbers 1:8,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,8,Numbers 1:8,4,צוּעָר:,,,,Onkelos,TARG
4,Numbers,1,9,Numbers 1:9,1,לִזְבוּלֻן,,,,Onkelos,TARG
4,Numbers,1,9,Numbers 1:9,2,אֱלִיאָב,,,,Onkelos,TARG
4,Numbers,1,9,Numbers 1:9,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,9,Numbers 1:9,4,חֵלֹּן:,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,1,לִבְנֵי,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,2,יוֹסֵף,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,3,לְאֶפְרַיִם,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,4,אֱלִישָׁמָע,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,5,בַּר,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,6,עַמִּיהוּד,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,7,לִמְנַשֶּׁה,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,8,גַּמְלִיאֵל,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,9,בַּר,,,,Onkelos,TARG
4,Numbers,1,10,Numbers 1:10,10,פְּדָהצוּר:,,,,Onkelos,TARG
4,Numbers,1,11,Numbers 1:11,1,לְבִנְיָמִן,,,,Onkelos,TARG
4,Numbers,1,11,Numbers 1:11,2,אֲבִידָן,,,,Onkelos,TARG
4,Numbers,1,11,Numbers 1:11,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,11,Numbers 1:11,4,גִּדְעֹנִי:,,,,Onkelos,TARG
4,Numbers,1,12,Numbers 1:12,1,לְדָן,,,,Onkelos,TARG
4,Numbers,1,12,Numbers 1:12,2,אֲחִיעֶזֶר,,,,Onkelos,TARG
4,Numbers,1,12,Numbers 1:12,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,12,Numbers 1:12,4,עַמִּישַׁדָּי:,,,,Onkelos,TARG
4,Numbers,1,13,Numbers 1:13,1,לְאָשֵׁר,,,,Onkelos,TARG
4,Numbers,1,13,Numbers 1:13,2,פַּגְעִיאֵל,,,,Onkelos,TARG
4,Numbers,1,13,Numbers 1:13,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,13,Numbers 1:13,4,עָכְרָן:,,,,Onkelos,TARG
4,Numbers,1,14,Numbers 1:14,1,לְגָד,,,,Onkelos,TARG
4,Numbers,1,14,Numbers 1:14,2,אֶלְיָסָף,,,,Onkelos,TARG
4,Numbers,1,14,Numbers 1:14,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,14,Numbers 1:14,4,דְּעוּאֵל:,,,,Onkelos,TARG
4,Numbers,1,15,Numbers 1:15,1,לְנַפְתָּלִי,,,,Onkelos,TARG
4,Numbers,1,15,Numbers 1:15,2,אֲחִירַע,,,,Onkelos,TARG
4,Numbers,1,15,Numbers 1:15,3,בַּר,,,,Onkelos,TARG
4,Numbers,1,15,Numbers 1:15,4,עֵינָן:,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,1,אִלֵּין,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,2,מְעַרְעֵי,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,3,כְנִשְׁתָּא,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,4,רַבְרְבֵי,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,5,שִׁבְטֵי,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,6,אֲבָהַתְהוֹן,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,7,רֵישֵׁי,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,8,אַלְפַיָּא,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,9,דְיִשְׂרָאֵל,,,,Onkelos,TARG
4,Numbers,1,16,Numbers 1:16,10,אִנּוּן:,,,,Onkelos,TARG
4,Numbers,1,17,Numbers 1:17,1,וּנְסֵב,,,,Onkelos,TARG
4,Numbers,1,17,Numbers 1:17,2,משֶׁה,,,,Onkelos,TARG
