book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
31,Obadiah,1,1,Obadiah 1:1,1,נְבוּאַת,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,2,עוֹבַדְיָה,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,3,כִּדְנַן,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,4,אֲמַר,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,5,יְיָ,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,6,אֱלֹהִים,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,7,לֶאֱדוֹם,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,8,בְּסוֹרָא,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,9,שְׁמַעְנָא,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,10,מִן,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,11,קֳדָם,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,12,יְיָ,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,13,וְאִזְגַד,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,14,בְּעַמְמַיָא,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,15,שְׁלִיחַ,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,16,קוּמוּ,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,17,וְנִתְעַתַּד,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,18,עֲלָהּ,,,,Jonathan,TARG
31,Obadiah,1,1,Obadiah 1:1,19,לִקְרָבָא:,,,,Jonathan,TARG
31,Obadiah,1,2,Obadiah 1:2,1,הָא,,,,Jonathan,TARG
31,Obadiah,1,2,Obadiah 1:2,2,חֲלָשׁ,,,,Jonathan,TARG
31,Obadiah,1,2,Obadiah 1:2,3,יְהַבְתָּךְ,,,,Jonathan,TARG
31,Obadiah,1,2,Obadiah 1:2,4,בְּעַמְמַיָא,,,,Jonathan,TARG
31,Obadiah,1,2,Obadiah 1:2,5,בְּסִיר,,,,Jonathan,TARG
31,Obadiah,1,2,Obadiah 1:2,6,אַתְּ,,,,Jonathan,TARG
31,Obadiah,1,2,Obadiah 1:2,7,לַחֲדָא:,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,1,רְשַׁע,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,2,לִבָּךְ,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,3,אַטְעַיָךְ,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,4,דְאַתְּ,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,5,דָמֵי,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,6,לְנִשְׁרָא,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,7,דְשָׁרֵי,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,8,בְשִׁינֵי,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,9,כֵיפָא,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,10,בְּרוֹמָא,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,11,מוֹתְבֵיהּ,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,12,אֲמַר,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,13,בְּלִבֵּיהּ,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,14,מַן,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,15,יַחֲתִינַנִי,,,,Jonathan,TARG
31,Obadiah,1,3,Obadiah 1:3,16,לְאַרְעָא:,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,1,אִם,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,2,תְּרִים,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,3,כְּנִשְׁרָא,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,4,וְאִם,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,5,בֵּינֵי,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,6,כוֹכְבַיָא,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,7,תְּשַׁוֵי,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,8,מְדוֹרָךְ,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,9,מִתַּמָן,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,10,אַחֲתִינָךְ,,,,Jonathan,TARG
31,Obadiah,1,4,Obadiah 1:4,11,אֲמַר,,,,Jonathan,TARG
