book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
38,Zechariah,1,1,Zechariah 1:1,1,בְּיַרְחָא,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,2,תְּמִינָאָה,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,3,בִּשְׁנַת,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,4,תַּרְתֵּין,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,5,לְדָרְיָוֶשׁ,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,6,הֲוָה,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,7,פִּתְגַם,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,8,נְבוּאָה,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,9,מִן,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,10,קֳדָם,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,11,יְיָ,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,12,עִם,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,13,זְכַרְיָה,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,14,בַּר,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,15,בֶּרָכְיָה,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,16,בַּר,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,17,עִדוֹ,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,18,נְבִיָא,,,,Jonathan,TARG
38,Zechariah,1,1,Zechariah 1:1,19,לְמֵימָר:,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,1,הֲוָה,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,2,רְגַז,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,3,מִן,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,4,קֳדָם,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,5,יְיָ,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,6,עַל,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,7,אֲבָהַתְכוֹן,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,8,עַל,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,9,דְאַרְגִיזוּ,,,,Jonathan,TARG
38,Zechariah,1,2,Zechariah 1:2,10,קֳדָמוֹהִי:,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,1,וְתֵימַר,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,2,לְהוֹן,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,3,כִּדְנַן,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,4,אֲמַר,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,5,יְיָ,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,6,צְבָאוֹת,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,7,תּוּבוּ,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,8,לְפוּלְחָנִי,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,9,אֲמַר,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,10,יְיָ,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,11,צְבָאוֹת,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,12,וְאִתְפְּנֵי,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,13,בְּמֵימְרִי,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,14,לְאַיְטָבָא,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,15,לְכוֹן,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,16,אֲמַר,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,17,יְיָ,,,,Jonathan,TARG
38,Zechariah,1,3,Zechariah 1:3,18,צְבָאוֹת:,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,1,לָא,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,2,תְהוֹן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,3,כַּאֲבָהָתְכוֹן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,4,דְיִתְנַבּוּן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,5,לְהוֹן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,6,נְבִיַיָא,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,7,קַדְמָאֵי,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,8,לְמֵימַר,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,9,כִּדְנַן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,10,אֲמַר,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,11,יְיָ,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,12,צְבָאוֹת,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,13,תּוּבוּ,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,14,כְעַן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,15,מֵאוֹרְחָתכוֹן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,16,בִּישְׁתָא,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,17,וּמֵעוֹבָדֵיכוֹן,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,18,מְקַלְקְלַיָא,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,19,וְלָא,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,20,קַבִּילוּ,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,21,וְלָא,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,22,אֲצִיתוּ,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,23,לְמֵימְרִי,,,,Jonathan,TARG
38,Zechariah,1,4,Zechariah 1:4,24,אֲמַר,,,,Jonathan,TARG
