book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
36,Zephaniah,1,1,Zephaniah 1:1,1,פִּתְגַם,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,2,נְבוּאָה,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,3,דַהֲוָה,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,4,קֳדָם,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,5,יְיָ,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,6,עִם,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,7,צְפַנְיָה,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,8,בַּר,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,9,כּוּשִׁי,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,10,בַר,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,11,גְדַלְיָה,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,12,בַר,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,13,אֲמַרְיָה,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,14,בַּר,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,15,חִזְקִיָה,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,16,בְּיוֹמֵי,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,17,יֹאשִׁיָהוּ,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,18,בַר,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,19,אָמוֹן,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,20,מְלַךְ,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,21,שִׁבְטָא,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,22,דְבֵית,,,,Jonathan,TARG
36,Zephaniah,1,1,Zephaniah 1:1,23,יְהוּדָה:,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,1,שֵׁיצָאָה,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,2,אֱשֵׁיצֵי,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,3,כּוֹלָא,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,4,מֵעַל,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,5,אַפֵּי,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,6,אַרְעָא,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,7,אֲמַר,,,,Jonathan,TARG
36,Zephaniah,1,2,Zephaniah 1:2,8,יְיָ:,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,1,אָסֵיף,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,2,אֱנָשָׁא,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,3,וּבְעִירָא,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,4,אָסֵיף,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,5,עוֹפָא,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,6,דִשְׁמַיָא,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,7,וְנוּנֵי,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,8,יַמָא,,,,Jonathan,TARG
36,Zephaniah,1,3,Zephaniah 1:3,9,עַל,,,,Jonathan,TARG
