book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
63,1 John,1,1,1 John 1:1,1,Quod,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,2,fuit,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,3,ab,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,4,"initio,",,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,5,quod,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,6,"audivimus,",,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,7,quod,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,8,vidimus,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,9,oculis,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,10,"nostris,",,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,11,quod,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,12,"perspeximus,",,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,13,et,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,14,manus,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,15,nostræ,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,16,contrectaverunt,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,17,de,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,18,verbo,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,19,vitæ,,,,Clementine,VUL
63,1 John,1,1,1 John 1:1,20,:,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,1,et,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,2,vita,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,3,manifestata,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,4,"est,",,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,5,et,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,6,"vidimus,",,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,7,et,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,8,"testamur,",,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,9,et,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,10,annuntiamus,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,11,vobis,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,12,vitam,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,13,"æternam,",,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,14,quæ,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,15,erat,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,16,apud,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,17,"Patrem,",,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,18,et,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,19,apparuit,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,20,nobis,,,,Clementine,VUL
63,1 John,1,2,1 John 1:2,21,:,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,1,quod,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,2,vidimus,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,3,et,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,4,"audivimus,",,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,5,annuntiamus,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,6,"vobis,",,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,7,ut,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,8,et,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,9,vos,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,10,societatem,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,11,habeatis,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,12,"nobiscum,",,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,13,et,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,14,societas,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,15,nostra,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,16,sit,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,17,cum,,,,Clementine,VUL
63,1 John,1,3,1 John 1:3,18,"Patre,",,,,Clementine,VUL
