book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
11,1 Kings,1,1,1 Kings 1:1,1,Et,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,2,rex,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,3,David,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,4,"senuerat,",,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,5,habebatque,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,6,ætatis,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,7,plurimos,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,8,dies,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,9,:,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,10,cumque,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,11,operiretur,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,12,"vestibus,",,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,13,non,,,,Clementine,VUL
11,1 Kings,1,1,1 Kings 1:1,14,calefiebat.,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,1,Dixerunt,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,2,ergo,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,3,ei,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,4,servi,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,5,sui,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,6,:,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,7,Quæramus,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,8,domino,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,9,nostro,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,10,regi,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,11,adolescentulam,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,12,"virginem,",,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,13,et,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,14,stet,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,15,coram,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,16,"rege,",,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,17,et,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,18,foveat,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,19,"eum,",,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,20,dormiatque,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,21,in,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,22,sinu,,,,Clementine,VUL
11,1 Kings,1,2,1 Kings 1:2,23,"suo,",,,,Clementine,VUL
