book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
55,1 Timothy,1,1,1 Timothy 1:1,1,Paulus,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,2,Apostolus,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,3,Jesu,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,4,Christi,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,5,secundum,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,6,imperium,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,7,Dei,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,8,Salvatoris,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,9,"nostri,",,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,10,et,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,11,Christi,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,12,Jesu,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,13,spei,,,,Clementine,VUL
55,1 Timothy,1,1,1 Timothy 1:1,14,"nostræ,",,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,1,Timotheo,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,2,dilecto,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,3,filio,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,4,in,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,5,fide.,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,6,"Gratia,",,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,7,"misericordia,",,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,8,et,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,9,pax,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,10,a,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,11,Deo,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,12,"Patre,",,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,13,et,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,14,Christo,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,15,Jesu,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,16,Domino,,,,Clementine,VUL
55,1 Timothy,1,2,1 Timothy 1:2,17,nostro.,,,,Clementine,VUL
