book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
14,2 Chronicles,1,1,2 Chronicles 1:1,1,Confortatus,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,2,est,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,3,ergo,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,4,Salomon,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,5,filius,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,6,David,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,7,in,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,8,regno,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,9,"suo,",,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,10,et,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,11,Dominus,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,12,Deus,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,13,ejus,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,14,erat,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,15,cum,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,16,"eo,",,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,17,et,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,18,magnificavit,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,19,eum,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,20,in,,,,Clementine,VUL
14,2 Chronicles,1,1,2 Chronicles 1:1,21,excelsum.,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,1,Præcepitque,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,2,Salomon,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,3,universo,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,4,"Israëli,",,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,5,"tribunis,",,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,6,et,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,7,"centurionibus,",,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,8,et,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,9,"ducibus,",,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,10,et,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,11,judicibus,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,12,omnis,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,13,"Israël,",,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,14,et,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,15,principibus,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,16,familiarum,,,,Clementine,VUL
14,2 Chronicles,1,2,2 Chronicles 1:2,17,:,,,,Clementine,VUL
14,2 Chronicles,1,3,2 Chronicles 1:3,1,et,,,,Clementine,VUL
14,2 Chronicles,1,3,2 Chronicles 1:3,2,abiit,,,,Clementine,VUL
14,2 Chronicles,1,3,2 Chronicles 1:3,3,cum,,,,Clementine,VUL
14,2 Chronicles,1,3,2 Chronicles 1:3,4,universa,,,,Clementine,VUL
14,2 Chronicles,1,3,2 Chronicles 1:3,5,multitudine,,,,Clementine,VUL
