book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
48,2 Corinthians,1,1,2 Corinthians 1:1,1,"Paulus,",,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,2,Apostolus,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,3,Jesu,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,4,Christi,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,5,per,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,6,voluntatem,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,7,"Dei,",,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,8,et,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,9,Timotheus,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,10,"frater,",,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,11,ecclesiæ,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,12,"Dei,",,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,13,quæ,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,14,est,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,15,Corinthi,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,16,cum,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,17,omnibus,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,18,"sanctis,",,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,19,qui,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,20,sunt,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,21,in,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,22,universa,,,,Clementine,VUL
48,2 Corinthians,1,1,2 Corinthians 1:1,23,Achaia.,,,,Clementine,VUL
48,2 Corinthians,1,2,2 Corinthians 1:2,1,Gratia,,,,Clementine,VUL
