book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
62,2 Peter,1,1,2 Peter 1:1,1,Simon,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,2,"Petrus,",,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,3,servus,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,4,et,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,5,apostolus,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,6,Jesu,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,7,"Christi,",,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,8,iis,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,9,qui,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,10,coæqualem,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,11,nobiscum,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,12,sortiti,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,13,sunt,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,14,fidem,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,15,in,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,16,justitia,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,17,Dei,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,18,"nostri,",,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,19,et,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,20,Salvatoris,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,21,Jesu,,,,Clementine,VUL
62,2 Peter,1,1,2 Peter 1:1,22,Christi.,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,1,Gratia,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,2,"vobis,",,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,3,et,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,4,pax,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,5,adimpleatur,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,6,in,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,7,cognitione,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,8,"Dei,",,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,9,et,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,10,Christi,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,11,Jesu,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,12,Domini,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,13,nostri,,,,Clementine,VUL
62,2 Peter,1,2,2 Peter 1:2,14,:,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,1,Quomodo,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,2,omnia,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,3,nobis,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,4,divinæ,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,5,virtutis,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,6,"suæ,",,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,7,quæ,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,8,ad,,,,Clementine,VUL
62,2 Peter,1,3,2 Peter 1:3,9,vitam,,,,Clementine,VUL
