book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
10,2 Samuel,1,1,2 Samuel 1:1,1,Factum,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,2,est,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,3,"autem,",,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,4,postquam,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,5,mortuus,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,6,est,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,7,"Saul,",,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,8,ut,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,9,David,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,10,reverteretur,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,11,a,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,12,cæde,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,13,"Amalec,",,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,14,et,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,15,maneret,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,16,in,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,17,Siceleg,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,18,duos,,,,Clementine,VUL
10,2 Samuel,1,1,2 Samuel 1:1,19,dies.,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,1,In,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,2,die,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,3,autem,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,4,tertia,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,5,apparuit,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,6,homo,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,7,veniens,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,8,de,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,9,castris,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,10,Saul,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,11,veste,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,12,"conscissa,",,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,13,et,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,14,pulvere,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,15,conspersus,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,16,caput,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,17,:,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,18,et,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,19,ut,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,20,venit,,,,Clementine,VUL
10,2 Samuel,1,2,2 Samuel 1:2,21,ad,,,,Clementine,VUL
