book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
54,2 Thessalonians,1,1,2 Thessalonians 1:1,1,"Paulus,",,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,2,et,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,3,"Sylvanus,",,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,4,et,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,5,"Timotheus,",,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,6,ecclesiæ,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,7,Thessalonicensium,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,8,in,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,9,Deo,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,10,Patre,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,11,"nostro,",,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,12,et,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,13,Domino,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,14,Jesu,,,,Clementine,VUL
54,2 Thessalonians,1,1,2 Thessalonians 1:1,15,Christo.,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,1,Gratia,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,2,"vobis,",,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,3,et,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,4,pax,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,5,a,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,6,Deo,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,7,Patre,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,8,"nostro,",,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,9,et,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,10,Domino,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,11,Jesu,,,,Clementine,VUL
54,2 Thessalonians,1,2,2 Thessalonians 1:2,12,Christo.,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,1,Gratias,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,2,agere,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,3,debemus,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,4,semper,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,5,Deo,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,6,pro,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,7,"vobis,",,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,8,"fratres,",,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,9,ita,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,10,ut,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,11,dignum,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,12,"est,",,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,13,quoniam,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,14,supercrescit,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,15,fides,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,16,"vestra,",,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,17,et,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,18,abundat,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,19,caritas,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,20,uniuscujusque,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,21,vestrum,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,22,in,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,23,invicem,,,,Clementine,VUL
54,2 Thessalonians,1,3,2 Thessalonians 1:3,24,:,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,1,ita,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,2,ut,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,3,et,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,4,nos,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,5,ipsi,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,6,in,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,7,vobis,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,8,gloriemur,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,9,in,,,,Clementine,VUL
54,2 Thessalonians,1,4,2 Thessalonians 1:4,10,ecclesiis,,,,Clementine,VUL
