book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
45,Acts,1,1,Acts 1:1,1,Primum,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,2,quidem,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,3,sermonem,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,4,feci,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,5,de,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,6,"omnibus,",,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,7,o,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,8,"Theophile,",,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,9,quæ,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,10,cœpit,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,11,Jesus,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,12,facere,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,13,et,,,,Clementine,VUL
45,Acts,1,1,Acts 1:1,14,docere,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,1,usque,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,2,in,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,3,diem,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,4,qua,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,5,præcipiens,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,6,Apostolis,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,7,per,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,8,Spiritum,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,9,"Sanctum,",,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,10,quos,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,11,"elegit,",,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,12,assumptus,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,13,est,,,,Clementine,VUL
45,Acts,1,2,Acts 1:2,14,:,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,1,quibus,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,2,et,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,3,præbuit,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,4,seipsum,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,5,vivum,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,6,post,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,7,passionem,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,8,suam,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,9,in,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,10,multis,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,11,"argumentis,",,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,12,per,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,13,dies,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,14,quadraginta,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,15,apparens,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,16,"eis,",,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,17,et,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,18,loquens,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,19,de,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,20,regno,,,,Clementine,VUL
45,Acts,1,3,Acts 1:3,21,Dei.,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,1,Et,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,2,"convescens,",,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,3,præcepit,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,4,eis,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,5,ab,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,6,Jerosolymis,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,7,ne,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,8,"discederent,",,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,9,sed,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,10,exspectarent,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,11,promissionem,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,12,"Patris,",,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,13,quam,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,14,audistis,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,15,(inquit),,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,16,per,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,17,os,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,18,meum,,,,Clementine,VUL
45,Acts,1,4,Acts 1:4,19,:,,,,Clementine,VUL
45,Acts,1,5,Acts 1:5,1,quia,,,,Clementine,VUL
45,Acts,1,5,Acts 1:5,2,Joannes,,,,Clementine,VUL
45,Acts,1,5,Acts 1:5,3,quidem,,,,Clementine,VUL
