book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
30,Amos,1,1,Amos 1:1,1,Verba,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,2,"Amos,",,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,3,qui,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,4,fuit,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,5,in,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,6,pastoribus,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,7,de,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,8,"Thecue,",,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,9,quæ,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,10,vidit,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,11,super,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,12,Israël,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,13,in,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,14,diebus,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,15,"Oziæ,",,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,16,regis,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,17,"Juda,",,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,18,et,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,19,in,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,20,diebus,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,21,"Jeroboam,",,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,22,filii,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,23,"Joas,",,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,24,regis,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,25,"Israël,",,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,26,ante,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,27,duos,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,28,annos,,,,Clementine,VUL
30,Amos,1,1,Amos 1:1,29,terræmotus.,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,1,Et,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,2,dixit,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,3,:,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,4,Dominus,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,5,de,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,6,Sion,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,7,"rugiet,",,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,8,et,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,9,de,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,10,Jerusalem,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,11,dabit,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,12,vocem,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,13,suam,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,14,;,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,15,et,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,16,luxerunt,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,17,speciosa,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,18,"pastorum,",,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,19,et,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,20,exsiccatus,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,21,est,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,22,vertex,,,,Clementine,VUL
30,Amos,1,2,Amos 1:2,23,Carmeli.,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,1,Hæc,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,2,dicit,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,3,Dominus,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,4,:,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,5,Super,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,6,tribus,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,7,sceleribus,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,8,"Damasci,",,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,9,et,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,10,super,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,11,quatuor,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,12,non,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,13,convertam,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,14,"eum,",,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,15,eo,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,16,quod,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,17,trituraverint,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,18,in,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,19,plaustris,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,20,ferreis,,,,Clementine,VUL
30,Amos,1,3,Amos 1:3,21,Galaad.,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,1,Et,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,2,mittam,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,3,ignem,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,4,in,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,5,domum,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,6,"Azaël,",,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,7,et,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,8,devorabit,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,9,domos,,,,Clementine,VUL
30,Amos,1,4,Amos 1:4,10,Benadad.,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,1,Et,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,2,conteram,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,3,vectem,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,4,Damasci,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,5,:,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,6,et,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,7,disperdam,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,8,habitatorem,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,9,de,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,10,campo,,,,Clementine,VUL
30,Amos,1,5,Amos 1:5,11,"idoli,",,,,Clementine,VUL
