book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
52,Colossians,1,1,Colossians 1:1,1,Paulus,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,2,Apostolus,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,3,Jesu,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,4,Christi,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,5,per,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,6,voluntatem,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,7,"Dei,",,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,8,et,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,9,Timotheus,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,10,frater,,,,Clementine,VUL
52,Colossians,1,1,Colossians 1:1,11,:,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,1,"eis,",,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,2,qui,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,3,sunt,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,4,"Colossis,",,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,5,"sanctis,",,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,6,et,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,7,fidelibus,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,8,fratribus,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,9,in,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,10,Christo,,,,Clementine,VUL
52,Colossians,1,2,Colossians 1:2,11,Jesu.,,,,Clementine,VUL
52,Colossians,1,3,Colossians 1:3,1,Gratia,,,,Clementine,VUL
52,Colossians,1,3,Colossians 1:3,2,"vobis,",,,,Clementine,VUL
52,Colossians,1,3,Colossians 1:3,3,et,,,,Clementine,VUL
52,Colossians,1,3,Colossians 1:3,4,pax,,,,Clementine,VUL
52,Colossians,1,3,Colossians 1:3,5,a,,,,Clementine,VUL
