book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
27,Daniel,1,1,Daniel 1:1,1,Anno,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,2,tertio,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,3,regni,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,4,Joakim,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,5,regis,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,6,"Juda,",,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,7,venit,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,8,"Nabuchodonosor,",,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,9,rex,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,10,"Babylonis,",,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,11,in,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,12,"Jerusalem,",,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,13,et,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,14,obsedit,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,15,eam,,,,Clementine,VUL
27,Daniel,1,1,Daniel 1:1,16,:,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,1,et,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,2,tradidit,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,3,Dominus,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,4,in,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,5,manu,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,6,ejus,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,7,"Joakim,",,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,8,regem,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,9,"Juda,",,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,10,et,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,11,partem,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,12,vasorum,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,13,domus,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,14,Dei,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,15,:,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,16,et,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,17,asportavit,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,18,ea,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,19,in,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,20,terram,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,21,Sennaar,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,22,in,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,23,domum,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,24,dei,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,25,"sui,",,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,26,et,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,27,vasa,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,28,intulit,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,29,in,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,30,domum,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,31,thesauri,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,32,dei,,,,Clementine,VUL
27,Daniel,1,2,Daniel 1:2,33,sui.,,,,Clementine,VUL
27,Daniel,1,3,Daniel 1:3,1,Et,,,,Clementine,VUL
27,Daniel,1,3,Daniel 1:3,2,ait,,,,Clementine,VUL
