book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
5,Deuteronomy,1,1,Deuteronomy 1:1,1,Hæc,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,2,sunt,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,3,verba,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,4,quæ,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,5,locutus,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,6,est,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,7,Moyses,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,8,ad,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,9,omnem,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,10,Israël,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,11,trans,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,12,Jordanem,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,13,in,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,14,solitudine,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,15,"campestri,",,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,16,contra,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,17,mare,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,18,"Rubrum,",,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,19,inter,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,20,Pharan,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,21,et,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,22,Tophel,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,23,et,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,24,Laban,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,25,et,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,26,"Haseroth,",,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,27,ubi,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,28,auri,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,29,est,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,30,plurimum,,,,Clementine,VUL
5,Deuteronomy,1,1,Deuteronomy 1:1,31,:,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,1,undecim,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,2,diebus,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,3,de,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,4,Horeb,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,5,per,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,6,viam,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,7,montis,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,8,Seir,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,9,usque,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,10,ad,,,,Clementine,VUL
5,Deuteronomy,1,2,Deuteronomy 1:2,11,Cadesbarne.,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,1,Quadragesimo,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,2,"anno,",,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,3,undecimo,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,4,"mense,",,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,5,prima,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,6,die,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,7,"mensis,",,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,8,locutus,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,9,est,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,10,Moyses,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,11,ad,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,12,filios,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,13,Israël,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,14,omnia,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,15,quæ,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,16,præceperat,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,17,illi,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,18,"Dominus,",,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,19,ut,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,20,diceret,,,,Clementine,VUL
5,Deuteronomy,1,3,Deuteronomy 1:3,21,"eis,",,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,1,postquam,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,2,percussit,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,3,Sehon,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,4,regem,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,5,"Amorrhæorum,",,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,6,qui,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,7,habitabat,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,8,in,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,9,"Hesebon,",,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,10,et,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,11,Og,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,12,regem,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,13,"Basan,",,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,14,qui,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,15,mansit,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,16,in,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,17,"Astaroth,",,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,18,et,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,19,in,,,,Clementine,VUL
5,Deuteronomy,1,4,Deuteronomy 1:4,20,"Edrai,",,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,1,trans,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,2,Jordanem,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,3,in,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,4,terra,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,5,Moab.,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,6,Cœpitque,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,7,Moyses,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,8,explanare,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,9,"legem,",,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,10,et,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,11,dicere,,,,Clementine,VUL
5,Deuteronomy,1,5,Deuteronomy 1:5,12,:,,,,Clementine,VUL
5,Deuteronomy,1,6,Deuteronomy 1:6,1,Dominus,,,,Clementine,VUL
5,Deuteronomy,1,6,Deuteronomy 1:6,2,Deus,,,,Clementine,VUL
5,Deuteronomy,1,6,Deuteronomy 1:6,3,noster,,,,Clementine,VUL
5,Deuteronomy,1,6,Deuteronomy 1:6,4,locutus,,,,Clementine,VUL
