book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
21,Ecclesiastes,1,1,Ecclesiastes 1:1,1,Verba,,,,Clementine,VUL
21,Ecclesiastes,1,1,Ecclesiastes 1:1,2,"Ecclesiastæ,",,,,Clementine,VUL
21,Ecclesiastes,1,1,Ecclesiastes 1:1,3,filii,,,,Clementine,VUL
21,Ecclesiastes,1,1,Ecclesiastes 1:1,4,"David,",,,,Clementine,VUL
21,Ecclesiastes,1,1,Ecclesiastes 1:1,5,regis,,,,Clementine,VUL
21,Ecclesiastes,1,1,Ecclesiastes 1:1,6,Jerusalem.,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,1,Vanitas,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,2,"vanitatum,",,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,3,dixit,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,4,Ecclesiastes,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,5,;,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,6,vanitas,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,7,"vanitatum,",,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,8,et,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,9,omnia,,,,Clementine,VUL
21,Ecclesiastes,1,2,Ecclesiastes 1:2,10,vanitas.,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,1,Quid,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,2,habet,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,3,amplius,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,4,homo,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,5,de,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,6,universo,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,7,labore,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,8,suo,,,,Clementine,VUL
21,Ecclesiastes,1,3,Ecclesiastes 1:3,9,quo,,,,Clementine,VUL
