book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
50,Ephesians,1,1,Ephesians 1:1,1,Paulus,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,2,Apostolus,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,3,Jesu,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,4,Christi,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,5,per,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,6,voluntatem,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,7,"Dei,",,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,8,omnibus,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,9,sanctis,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,10,qui,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,11,sunt,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,12,"Ephesi,",,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,13,et,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,14,fidelibus,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,15,in,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,16,Christo,,,,Clementine,VUL
50,Ephesians,1,1,Ephesians 1:1,17,Jesu.,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,1,Gratia,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,2,"vobis,",,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,3,et,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,4,pax,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,5,a,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,6,Deo,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,7,Patre,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,8,"nostro,",,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,9,et,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,10,Domino,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,11,Jesu,,,,Clementine,VUL
50,Ephesians,1,2,Ephesians 1:2,12,Christo.,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,1,Benedictus,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,2,Deus,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,3,et,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,4,Pater,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,5,Domini,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,6,nostri,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,7,Jesu,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,8,"Christi,",,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,9,qui,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,10,benedixit,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,11,nos,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,12,in,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,13,omni,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,14,benedictione,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,15,spirituali,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,16,in,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,17,cælestibus,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,18,in,,,,Clementine,VUL
50,Ephesians,1,3,Ephesians 1:3,19,"Christo,",,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,1,sicut,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,2,elegit,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,3,nos,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,4,in,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,5,ipso,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,6,ante,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,7,mundi,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,8,"constitutionem,",,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,9,ut,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,10,essemus,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,11,sancti,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,12,et,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,13,immaculati,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,14,in,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,15,conspectu,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,16,ejus,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,17,in,,,,Clementine,VUL
50,Ephesians,1,4,Ephesians 1:4,18,caritate.,,,,Clementine,VUL
50,Ephesians,1,5,Ephesians 1:5,1,Qui,,,,Clementine,VUL
50,Ephesians,1,5,Ephesians 1:5,2,prædestinavit,,,,Clementine,VUL
