book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
17,Esther,1,1,Esther 1:1,1,In,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,2,diebus,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,3,"Assueri,",,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,4,qui,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,5,regnavit,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,6,ab,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,7,India,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,8,usque,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,9,Æthiopiam,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,10,super,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,11,centum,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,12,viginti,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,13,septem,,,,Clementine,VUL
17,Esther,1,1,Esther 1:1,14,"provincias,",,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,1,quando,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,2,sedit,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,3,in,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,4,solio,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,5,regni,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,6,"sui,",,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,7,Susan,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,8,civitas,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,9,regni,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,10,ejus,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,11,exordium,,,,Clementine,VUL
17,Esther,1,2,Esther 1:2,12,fuit.,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,1,Tertio,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,2,igitur,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,3,anno,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,4,imperii,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,5,sui,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,6,fecit,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,7,grande,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,8,convivium,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,9,cunctis,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,10,principibus,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,11,et,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,12,pueris,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,13,"suis,",,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,14,fortissimis,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,15,"Persarum,",,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,16,et,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,17,Medorum,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,18,"inclytis,",,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,19,et,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,20,præfectis,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,21,provinciarum,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,22,coram,,,,Clementine,VUL
17,Esther,1,3,Esther 1:3,23,"se,",,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,1,ut,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,2,ostenderet,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,3,divitias,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,4,gloriæ,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,5,regni,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,6,"sui,",,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,7,ac,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,8,magnitudinem,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,9,atque,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,10,jactantiam,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,11,potentiæ,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,12,"suæ,",,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,13,multo,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,14,"tempore,",,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,15,centum,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,16,videlicet,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,17,et,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,18,octoginta,,,,Clementine,VUL
17,Esther,1,4,Esther 1:4,19,diebus.,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,1,Cumque,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,2,implerentur,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,3,dies,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,4,"convivii,",,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,5,invitavit,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,6,omnem,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,7,"populum,",,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,8,qui,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,9,inventus,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,10,est,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,11,in,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,12,"Susan,",,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,13,a,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,14,maximo,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,15,usque,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,16,ad,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,17,minimum,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,18,:,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,19,et,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,20,jussit,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,21,septem,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,22,diebus,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,23,convivium,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,24,præparari,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,25,in,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,26,vestibulo,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,27,"horti,",,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,28,et,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,29,nemoris,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,30,quod,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,31,regio,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,32,cultu,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,33,et,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,34,manu,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,35,consitum,,,,Clementine,VUL
17,Esther,1,5,Esther 1:5,36,erat.,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,1,Et,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,2,pendebant,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,3,ex,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,4,omni,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,5,parte,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,6,tentoria,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,7,ærii,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,8,coloris,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,9,et,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,10,carbasini,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,11,ac,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,12,"hyacinthini,",,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,13,sustentata,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,14,funibus,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,15,byssinis,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,16,atque,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,17,"purpureis,",,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,18,qui,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,19,eburneis,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,20,circulis,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,21,inserti,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,22,"erant,",,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,23,et,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,24,columnis,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,25,marmoreis,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,26,fulciebantur.,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,27,Lectuli,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,28,quoque,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,29,aurei,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,30,et,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,31,"argentei,",,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,32,super,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,33,pavimentum,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,34,smaragdino,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,35,et,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,36,pario,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,37,stratum,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,38,"lapide,",,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,39,dispositi,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,40,erant,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,41,:,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,42,quod,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,43,mira,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,44,varietate,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,45,pictura,,,,Clementine,VUL
17,Esther,1,6,Esther 1:6,46,decorabat.,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,1,Bibebant,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,2,autem,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,3,qui,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,4,invitati,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,5,erant,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,6,aureis,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,7,"poculis,",,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,8,et,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,9,aliis,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,10,atque,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,11,aliis,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,12,vasis,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,13,cibi,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,14,inferebantur.,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,15,Vinum,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,16,"quoque,",,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,17,ut,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,18,magnificentia,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,19,regia,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,20,dignum,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,21,"erat,",,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,22,"abundans,",,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,23,et,,,,Clementine,VUL
17,Esther,1,7,Esther 1:7,24,præcipuum,,,,Clementine,VUL
