book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
2,Exodus,1,1,Exodus 1:1,1,Hæc,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,2,sunt,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,3,nomina,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,4,filiorum,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,5,Israël,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,6,qui,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,7,ingressi,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,8,sunt,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,9,in,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,10,Ægyptum,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,11,cum,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,12,Jacob,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,13,:,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,14,singuli,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,15,cum,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,16,domibus,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,17,suis,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,18,introierunt,,,,Clementine,VUL
2,Exodus,1,1,Exodus 1:1,19,:,,,,Clementine,VUL
2,Exodus,1,2,Exodus 1:2,1,"Ruben,",,,,Clementine,VUL
2,Exodus,1,2,Exodus 1:2,2,"Simeon,",,,,Clementine,VUL
2,Exodus,1,2,Exodus 1:2,3,"Levi,",,,,Clementine,VUL
2,Exodus,1,2,Exodus 1:2,4,"Judas,",,,,Clementine,VUL
2,Exodus,1,3,Exodus 1:3,1,"Issachar,",,,,Clementine,VUL
2,Exodus,1,3,Exodus 1:3,2,Zabulon,,,,Clementine,VUL
2,Exodus,1,3,Exodus 1:3,3,et,,,,Clementine,VUL
2,Exodus,1,3,Exodus 1:3,4,"Benjamin,",,,,Clementine,VUL
2,Exodus,1,4,Exodus 1:4,1,Dan,,,,Clementine,VUL
2,Exodus,1,4,Exodus 1:4,2,et,,,,Clementine,VUL
2,Exodus,1,4,Exodus 1:4,3,"Nephthali,",,,,Clementine,VUL
2,Exodus,1,4,Exodus 1:4,4,Gad,,,,Clementine,VUL
2,Exodus,1,4,Exodus 1:4,5,et,,,,Clementine,VUL
2,Exodus,1,4,Exodus 1:4,6,Aser.,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,1,Erant,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,2,igitur,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,3,omnes,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,4,animæ,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,5,eorum,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,6,qui,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,7,egressi,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,8,sunt,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,9,de,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,10,femore,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,11,"Jacob,",,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,12,septuaginta,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,13,:,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,14,Joseph,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,15,autem,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,16,in,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,17,Ægypto,,,,Clementine,VUL
2,Exodus,1,5,Exodus 1:5,18,erat.,,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,1,Quo,,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,2,"mortuo,",,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,3,et,,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,4,universis,,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,5,fratribus,,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,6,"ejus,",,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,7,omnique,,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,8,cognatione,,,,Clementine,VUL
2,Exodus,1,6,Exodus 1:6,9,"illa,",,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,1,filii,,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,2,Israël,,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,3,"creverunt,",,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,4,et,,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,5,quasi,,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,6,germinantes,,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,7,multiplicati,,,,Clementine,VUL
2,Exodus,1,7,Exodus 1:7,8,sunt,,,,Clementine,VUL
