book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
26,Ezekiel,1,1,Ezekiel 1:1,1,Et,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,2,factum,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,3,est,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,4,in,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,5,trigesimo,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,6,"anno,",,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,7,in,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,8,"quarto,",,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,9,in,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,10,quinta,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,11,"mensis,",,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,12,cum,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,13,essem,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,14,in,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,15,medio,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,16,captivorum,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,17,juxta,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,18,fluvium,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,19,"Chobar,",,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,20,aperti,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,21,sunt,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,22,"cæli,",,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,23,et,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,24,vidi,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,25,visiones,,,,Clementine,VUL
26,Ezekiel,1,1,Ezekiel 1:1,26,Dei.,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,1,In,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,2,quinta,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,3,"mensis,",,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,4,ipse,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,5,est,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,6,annus,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,7,quintus,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,8,transmigrationis,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,9,regis,,,,Clementine,VUL
26,Ezekiel,1,2,Ezekiel 1:2,10,"Joachin,",,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,1,factum,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,2,est,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,3,verbum,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,4,Domini,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,5,ad,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,6,Ezechielem,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,7,filium,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,8,Buzi,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,9,"sacerdotem,",,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,10,in,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,11,terra,,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,12,"Chaldæorum,",,,,Clementine,VUL
26,Ezekiel,1,3,Ezekiel 1:3,13,secus,,,,Clementine,VUL
