book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
15,Ezra,1,1,Ezra 1:1,1,In,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,2,anno,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,3,primo,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,4,Cyri,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,5,regis,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,6,"Persarum,",,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,7,ut,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,8,compleretur,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,9,verbum,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,10,Domini,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,11,ex,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,12,ore,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,13,"Jeremiæ,",,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,14,suscitavit,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,15,Dominus,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,16,spiritum,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,17,Cyri,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,18,regis,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,19,Persarum,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,20,:,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,21,et,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,22,traduxit,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,23,vocem,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,24,in,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,25,omni,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,26,regno,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,27,"suo,",,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,28,etiam,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,29,per,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,30,"scripturam,",,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,31,dicens,,,,Clementine,VUL
15,Ezra,1,1,Ezra 1:1,32,:,,,,Clementine,VUL
15,Ezra,1,2,Ezra 1:2,1,Hæc,,,,Clementine,VUL
