book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
49,Galatians,1,1,Galatians 1:1,1,"Paulus,",,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,2,Apostolus,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,3,non,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,4,ab,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,5,"hominibus,",,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,6,neque,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,7,per,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,8,"hominem,",,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,9,sed,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,10,per,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,11,Jesum,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,12,"Christum,",,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,13,et,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,14,Deum,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,15,"Patrem,",,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,16,qui,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,17,suscitavit,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,18,eum,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,19,a,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,20,mortuis,,,,Clementine,VUL
49,Galatians,1,1,Galatians 1:1,21,:,,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,1,et,,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,2,qui,,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,3,mecum,,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,4,sunt,,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,5,omnes,,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,6,"fratres,",,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,7,ecclesiis,,,,Clementine,VUL
49,Galatians,1,2,Galatians 1:2,8,Galatiæ.,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,1,Gratia,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,2,"vobis,",,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,3,et,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,4,pax,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,5,a,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,6,Deo,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,7,"Patre,",,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,8,et,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,9,Domino,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,10,nostro,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,11,Jesu,,,,Clementine,VUL
49,Galatians,1,3,Galatians 1:3,12,"Christo,",,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,1,qui,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,2,dedit,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,3,semetipsum,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,4,pro,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,5,peccatis,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,6,"nostris,",,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,7,ut,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,8,eriperet,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,9,nos,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,10,de,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,11,præsenti,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,12,sæculo,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,13,"nequam,",,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,14,secundum,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,15,voluntatem,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,16,Dei,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,17,et,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,18,Patris,,,,Clementine,VUL
49,Galatians,1,4,Galatians 1:4,19,"nostri,",,,,Clementine,VUL
49,Galatians,1,5,Galatians 1:5,1,cui,,,,Clementine,VUL
49,Galatians,1,5,Galatians 1:5,2,est,,,,Clementine,VUL
49,Galatians,1,5,Galatians 1:5,3,gloria,,,,Clementine,VUL
49,Galatians,1,5,Galatians 1:5,4,in,,,,Clementine,VUL
49,Galatians,1,5,Galatians 1:5,5,sæcula,,,,Clementine,VUL
49,Galatians,1,5,Galatians 1:5,6,sæculorum.,,,,Clementine,VUL
49,Galatians,1,5,Galatians 1:5,7,Amen.,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,1,Miror,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,2,quod,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,3,sic,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,4,tam,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,5,cito,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,6,transferimini,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,7,ab,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,8,eo,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,9,qui,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,10,vos,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,11,vocavit,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,12,in,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,13,gratiam,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,14,Christi,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,15,in,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,16,aliud,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,17,Evangelium,,,,Clementine,VUL
49,Galatians,1,6,Galatians 1:6,18,:,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,1,quod,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,2,non,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,3,est,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,4,"aliud,",,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,5,nisi,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,6,sunt,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,7,aliqui,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,8,qui,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,9,vos,,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,10,"conturbant,",,,,Clementine,VUL
49,Galatians,1,7,Galatians 1:7,11,et,,,,Clementine,VUL
