book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
1,Genesis,1,1,Genesis 1:1,1,In,,,,Clementine,VUL
1,Genesis,1,1,Genesis 1:1,2,principio,,,,Clementine,VUL
1,Genesis,1,1,Genesis 1:1,3,creavit,,,,Clementine,VUL
1,Genesis,1,1,Genesis 1:1,4,Deus,,,,Clementine,VUL
1,Genesis,1,1,Genesis 1:1,5,cælum,,,,Clementine,VUL
1,Genesis,1,1,Genesis 1:1,6,et,,,,Clementine,VUL
1,Genesis,1,1,Genesis 1:1,7,terram.,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,1,Terra,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,2,autem,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,3,erat,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,4,inanis,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,5,et,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,6,"vacua,",,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,7,et,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,8,tenebræ,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,9,erant,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,10,super,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,11,faciem,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,12,abyssi,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,13,:,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,14,et,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,15,spiritus,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,16,Dei,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,17,ferebatur,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,18,super,,,,Clementine,VUL
1,Genesis,1,2,Genesis 1:2,19,aquas.,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,1,Dixitque,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,2,Deus,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,3,:,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,4,Fiat,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,5,lux.,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,6,Et,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,7,facta,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,8,est,,,,Clementine,VUL
1,Genesis,1,3,Genesis 1:3,9,lux.,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,1,Et,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,2,vidit,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,3,Deus,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,4,lucem,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,5,quod,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,6,esset,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,7,bona,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,8,:,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,9,et,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,10,divisit,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,11,lucem,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,12,a,,,,Clementine,VUL
1,Genesis,1,4,Genesis 1:4,13,tenebris.,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,1,Appellavitque,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,2,lucem,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,3,"Diem,",,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,4,et,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,5,tenebras,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,6,Noctem,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,7,:,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,8,factumque,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,9,est,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,10,vespere,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,11,et,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,12,"mane,",,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,13,dies,,,,Clementine,VUL
1,Genesis,1,5,Genesis 1:5,14,unus.,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,1,Dixit,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,2,quoque,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,3,Deus,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,4,:,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,5,Fiat,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,6,firmamentum,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,7,in,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,8,medio,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,9,aquarum,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,10,:,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,11,et,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,12,dividat,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,13,aquas,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,14,ab,,,,Clementine,VUL
1,Genesis,1,6,Genesis 1:6,15,aquis.,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,1,Et,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,2,fecit,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,3,Deus,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,4,"firmamentum,",,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,5,divisitque,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,6,"aquas,",,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,7,quæ,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,8,erant,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,9,sub,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,10,"firmamento,",,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,11,ab,,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,12,"his,",,,,Clementine,VUL
1,Genesis,1,7,Genesis 1:7,13,quæ,,,,Clementine,VUL
