book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
35,Habakkuk,1,1,Habakkuk 1:1,1,Onus,,,,Clementine,VUL
35,Habakkuk,1,1,Habakkuk 1:1,2,quod,,,,Clementine,VUL
35,Habakkuk,1,1,Habakkuk 1:1,3,vidit,,,,Clementine,VUL
35,Habakkuk,1,1,Habakkuk 1:1,4,Habacuc,,,,Clementine,VUL
35,Habakkuk,1,1,Habakkuk 1:1,5,propheta.,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,1,"Usquequo,",,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,2,"Domine,",,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,3,"clamabo,",,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,4,et,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,5,non,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,6,exaudies,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,7,?,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,8,vociferabor,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,9,ad,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,10,"te,",,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,11,vim,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,12,"patiens,",,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,13,et,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,14,non,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,15,salvabis,,,,Clementine,VUL
35,Habakkuk,1,2,Habakkuk 1:2,16,?,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,1,Quare,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,2,ostendisti,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,3,mihi,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,4,iniquitatem,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,5,et,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,6,"laborem,",,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,7,videre,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,8,prædam,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,9,et,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,10,injustitiam,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,11,contra,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,12,me,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,13,?,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,14,Et,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,15,factum,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,16,est,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,17,"judicium,",,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,18,et,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,19,contradictio,,,,Clementine,VUL
35,Habakkuk,1,3,Habakkuk 1:3,20,potentior.,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,1,Propter,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,2,hoc,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,3,lacerata,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,4,est,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,5,"lex,",,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,6,et,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,7,non,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,8,pervenit,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,9,usque,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,10,ad,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,11,finem,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,12,judicium,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,13,;,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,14,quia,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,15,impius,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,16,prævalet,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,17,adversus,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,18,"justum,",,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,19,propterea,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,20,egreditur,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,21,judicium,,,,Clementine,VUL
35,Habakkuk,1,4,Habakkuk 1:4,22,perversum.,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,1,Aspicite,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,2,in,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,3,"gentibus,",,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,4,et,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,5,videte,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,6,;,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,7,"admiramini,",,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,8,et,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,9,obstupescite,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,10,:,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,11,quia,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,12,opus,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,13,factum,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,14,est,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,15,in,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,16,diebus,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,17,"vestris,",,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,18,quod,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,19,nemo,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,20,credet,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,21,cum,,,,Clementine,VUL
35,Habakkuk,1,5,Habakkuk 1:5,22,narrabitur.,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,1,Quia,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,2,ecce,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,3,ego,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,4,suscitabo,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,5,"Chaldæos,",,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,6,gentem,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,7,amaram,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,8,et,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,9,"velocem,",,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,10,ambulantem,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,11,super,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,12,latitudinem,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,13,"terræ,",,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,14,ut,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,15,possideat,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,16,tabernacula,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,17,non,,,,Clementine,VUL
35,Habakkuk,1,6,Habakkuk 1:6,18,sua.,,,,Clementine,VUL
35,Habakkuk,1,7,Habakkuk 1:7,1,Horribilis,,,,Clementine,VUL
35,Habakkuk,1,7,Habakkuk 1:7,2,et,,,,Clementine,VUL
35,Habakkuk,1,7,Habakkuk 1:7,3,terribilis,,,,Clementine,VUL
35,Habakkuk,1,7,Habakkuk 1:7,4,est,,,,Clementine,VUL
