book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
37,Haggai,1,1,Haggai 1:1,1,In,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,2,anno,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,3,secundo,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,4,Darii,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,5,"regis,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,6,in,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,7,mense,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,8,"sexto,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,9,in,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,10,die,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,11,una,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,12,"mensis,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,13,factum,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,14,est,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,15,verbum,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,16,Domini,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,17,in,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,18,manu,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,19,Aggæi,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,20,"prophetæ,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,21,ad,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,22,"Zorobabel,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,23,filium,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,24,"Salathiel,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,25,ducem,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,26,"Juda,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,27,et,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,28,ad,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,29,"Jesum,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,30,filium,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,31,"Josedec,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,32,sacerdotem,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,33,"magnum,",,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,34,dicens,,,,Clementine,VUL
37,Haggai,1,1,Haggai 1:1,35,:,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,1,Hæc,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,2,ait,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,3,Dominus,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,4,"exercituum,",,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,5,dicens,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,6,:,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,7,Populus,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,8,iste,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,9,dicit,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,10,:,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,11,Nondum,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,12,venit,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,13,tempus,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,14,domus,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,15,Domini,,,,Clementine,VUL
37,Haggai,1,2,Haggai 1:2,16,ædificandæ.,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,1,Et,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,2,factum,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,3,est,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,4,verbum,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,5,Domini,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,6,in,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,7,manu,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,8,Aggæi,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,9,"prophetæ,",,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,10,dicens,,,,Clementine,VUL
37,Haggai,1,3,Haggai 1:3,11,:,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,1,Numquid,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,2,tempus,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,3,vobis,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,4,est,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,5,ut,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,6,habitetis,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,7,in,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,8,domibus,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,9,"laqueatis,",,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,10,et,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,11,domus,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,12,ista,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,13,deserta,,,,Clementine,VUL
37,Haggai,1,4,Haggai 1:4,14,?,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,1,Et,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,2,nunc,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,3,hæc,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,4,dicit,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,5,Dominus,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,6,exercituum,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,7,:,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,8,Ponite,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,9,corda,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,10,vestra,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,11,super,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,12,vias,,,,Clementine,VUL
37,Haggai,1,5,Haggai 1:5,13,vestras.,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,1,Seminastis,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,2,"multum,",,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,3,et,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,4,intulistis,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,5,parum,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,6,;,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,7,"comedistis,",,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,8,et,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,9,non,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,10,estis,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,11,satiati,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,12,;,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,13,"bibistis,",,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,14,et,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,15,non,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,16,estis,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,17,inebriati,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,18,;,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,19,operuistis,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,20,"vos,",,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,21,et,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,22,non,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,23,estis,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,24,calefacti,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,25,;,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,26,et,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,27,qui,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,28,mercedes,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,29,"congregavit,",,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,30,misit,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,31,eas,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,32,in,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,33,sacculum,,,,Clementine,VUL
37,Haggai,1,6,Haggai 1:6,34,pertusum.,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,1,Hæc,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,2,dicit,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,3,Dominus,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,4,exercituum,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,5,:,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,6,Ponite,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,7,corda,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,8,vestra,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,9,super,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,10,vias,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,11,vestras,,,,Clementine,VUL
37,Haggai,1,7,Haggai 1:7,12,;,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,1,ascendite,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,2,in,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,3,"montem,",,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,4,portate,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,5,"ligna,",,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,6,et,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,7,ædificate,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,8,domum,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,9,:,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,10,et,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,11,acceptabilis,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,12,mihi,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,13,"erit,",,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,14,et,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,15,"glorificabor,",,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,16,dicit,,,,Clementine,VUL
37,Haggai,1,8,Haggai 1:8,17,Dominus.,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,1,Respexistis,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,2,ad,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,3,"amplius,",,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,4,et,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,5,ecce,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,6,factum,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,7,est,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,8,minus,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,9,;,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,10,et,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,11,intulistis,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,12,in,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,13,"domum,",,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,14,et,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,15,exsufflavi,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,16,illud,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,17,:,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,18,quam,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,19,ob,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,20,causam,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,21,?,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,22,dicit,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,23,Dominus,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,24,exercituum,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,25,:,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,26,quia,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,27,domus,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,28,mea,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,29,deserta,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,30,"est,",,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,31,et,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,32,vos,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,33,festinatis,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,34,unusquisque,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,35,in,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,36,domum,,,,Clementine,VUL
37,Haggai,1,9,Haggai 1:9,37,suam.,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,1,Propter,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,2,hoc,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,3,super,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,4,vos,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,5,prohibiti,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,6,sunt,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,7,cæli,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,8,ne,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,9,darent,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,10,"rorem,",,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,11,et,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,12,terra,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,13,prohibita,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,14,est,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,15,ne,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,16,daret,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,17,germen,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,18,suum,,,,Clementine,VUL
37,Haggai,1,10,Haggai 1:10,19,:,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,1,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,2,vocavi,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,3,siccitatem,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,4,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,5,"terram,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,6,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,7,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,8,"montes,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,9,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,10,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,11,"triticum,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,12,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,13,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,14,"vinum,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,15,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,16,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,17,"oleum,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,18,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,19,quæcumque,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,20,profert,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,21,"humus,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,22,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,23,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,24,"homines,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,25,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,26,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,27,"jumenta,",,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,28,et,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,29,super,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,30,omnem,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,31,laborem,,,,Clementine,VUL
37,Haggai,1,11,Haggai 1:11,32,manuum.,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,1,Et,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,2,audivit,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,3,"Zorobabel,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,4,filius,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,5,"Salathiel,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,6,et,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,7,"Jesus,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,8,filius,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,9,"Josedec,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,10,sacerdos,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,11,"magnus,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,12,et,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,13,omnes,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,14,reliquiæ,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,15,"populi,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,16,vocem,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,17,Domini,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,18,Dei,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,19,"sui,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,20,et,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,21,verba,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,22,Aggæi,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,23,"prophetæ,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,24,sicut,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,25,misit,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,26,eum,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,27,Dominus,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,28,Deus,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,29,eorum,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,30,ad,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,31,"eos,",,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,32,et,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,33,timuit,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,34,populus,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,35,a,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,36,facie,,,,Clementine,VUL
37,Haggai,1,12,Haggai 1:12,37,Domini.,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,1,Et,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,2,dixit,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,3,"Aggæus,",,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,4,nuntius,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,5,Domini,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,6,de,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,7,nuntiis,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,8,"Domini,",,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,9,populo,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,10,dicens,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,11,:,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,12,Ego,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,13,vobiscum,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,14,"sum,",,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,15,dicit,,,,Clementine,VUL
37,Haggai,1,13,Haggai 1:13,16,Dominus.,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,1,Et,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,2,suscitavit,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,3,Dominus,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,4,spiritum,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,5,"Zorobabel,",,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,6,filii,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,7,"Salathiel,",,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,8,ducis,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,9,"Juda,",,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,10,et,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,11,spiritum,,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,12,"Jesu,",,,,Clementine,VUL
37,Haggai,1,14,Haggai 1:14,13,filii,,,,Clementine,VUL
