book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
59,Hebrews,1,1,Hebrews 1:1,1,"Multifariam,",,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,2,multisque,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,3,modis,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,4,olim,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,5,Deus,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,6,loquens,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,7,patribus,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,8,in,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,9,prophetis,,,,Clementine,VUL
59,Hebrews,1,1,Hebrews 1:1,10,:,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,1,"novissime,",,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,2,diebus,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,3,istis,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,4,locutus,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,5,est,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,6,nobis,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,7,in,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,8,"Filio,",,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,9,quem,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,10,constituit,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,11,hæredem,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,12,"universorum,",,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,13,per,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,14,quem,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,15,fecit,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,16,et,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,17,sæcula,,,,Clementine,VUL
59,Hebrews,1,2,Hebrews 1:2,18,:,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,1,qui,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,2,cum,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,3,sit,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,4,splendor,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,5,"gloriæ,",,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,6,et,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,7,figura,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,8,substantiæ,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,9,"ejus,",,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,10,portansque,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,11,omnia,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,12,verbo,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,13,virtutis,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,14,"suæ,",,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,15,purgationem,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,16,peccatorum,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,17,"faciens,",,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,18,sedet,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,19,ad,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,20,dexteram,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,21,majestatis,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,22,in,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,23,excelsis,,,,Clementine,VUL
59,Hebrews,1,3,Hebrews 1:3,24,:,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,1,tanto,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,2,melior,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,3,angelis,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,4,"effectus,",,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,5,quanto,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,6,differentius,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,7,præ,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,8,illis,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,9,nomen,,,,Clementine,VUL
59,Hebrews,1,4,Hebrews 1:4,10,hæreditavit.,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,1,Cui,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,2,enim,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,3,dixit,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,4,aliquando,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,5,angelorum,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,6,:,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,7,Filius,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,8,meus,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,9,es,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,10,"tu,",,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,11,ego,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,12,hodie,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,13,genui,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,14,te,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,15,?,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,16,Et,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,17,rursum,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,18,:,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,19,Ego,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,20,ero,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,21,illi,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,22,in,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,23,"patrem,",,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,24,et,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,25,ipse,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,26,erit,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,27,mihi,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,28,in,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,29,filium,,,,Clementine,VUL
59,Hebrews,1,5,Hebrews 1:5,30,?,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,1,Et,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,2,cum,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,3,iterum,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,4,introducit,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,5,primogenitum,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,6,in,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,7,orbem,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,8,"terræ,",,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,9,dicit,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,10,:,,,,Clementine,VUL
59,Hebrews,1,6,Hebrews 1:6,11,Et,,,,Clementine,VUL
