book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
28,Hosea,1,1,Hosea 1:1,1,Verbum,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,2,"Domini,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,3,quod,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,4,factum,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,5,est,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,6,ad,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,7,"Osee,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,8,filium,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,9,"Beeri,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,10,in,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,11,diebus,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,12,"Oziæ,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,13,"Joathan,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,14,"Achaz,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,15,"Ezechiæ,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,16,regum,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,17,Juda,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,18,;,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,19,et,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,20,in,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,21,diebus,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,22,"Jeroboam,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,23,filii,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,24,"Joas,",,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,25,regis,,,,Clementine,VUL
28,Hosea,1,1,Hosea 1:1,26,Israël.,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,1,Principium,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,2,loquendi,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,3,Domino,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,4,in,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,5,Osee.,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,6,Et,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,7,dixit,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,8,Dominus,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,9,ad,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,10,Osee,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,11,:,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,12,"Vade,",,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,13,sume,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,14,tibi,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,15,uxorem,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,16,"fornicationum,",,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,17,et,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,18,fac,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,19,tibi,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,20,filios,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,21,"fornicationum,",,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,22,quia,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,23,fornicans,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,24,fornicabitur,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,25,terra,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,26,a,,,,Clementine,VUL
28,Hosea,1,2,Hosea 1:2,27,Domino.,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,1,Et,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,2,"abiit,",,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,3,et,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,4,accepit,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,5,"Gomer,",,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,6,filiam,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,7,Debelaim,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,8,:,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,9,et,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,10,"concepit,",,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,11,et,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,12,peperit,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,13,ei,,,,Clementine,VUL
28,Hosea,1,3,Hosea 1:3,14,filium.,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,1,Et,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,2,dixit,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,3,Dominus,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,4,ad,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,5,eum,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,6,:,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,7,Voca,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,8,nomen,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,9,ejus,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,10,"Jezrahel,",,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,11,quoniam,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,12,adhuc,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,13,"modicum,",,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,14,et,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,15,visitabo,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,16,sanguinem,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,17,Jezrahel,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,18,super,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,19,domum,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,20,"Jehu,",,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,21,et,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,22,quiescere,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,23,faciam,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,24,regnum,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,25,domus,,,,Clementine,VUL
28,Hosea,1,4,Hosea 1:4,26,Israël.,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,1,Et,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,2,in,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,3,illa,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,4,die,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,5,conteram,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,6,arcum,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,7,Israël,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,8,in,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,9,valle,,,,Clementine,VUL
28,Hosea,1,5,Hosea 1:5,10,Jezrahel.,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,1,Et,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,2,concepit,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,3,"adhuc,",,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,4,et,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,5,peperit,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,6,filiam.,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,7,Et,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,8,dixit,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,9,ei,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,10,:,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,11,Voca,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,12,nomen,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,13,"ejus,",,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,14,Absque,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,15,"misericordia,",,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,16,quia,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,17,non,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,18,addam,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,19,ultra,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,20,misereri,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,21,domui,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,22,"Israël,",,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,23,sed,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,24,oblivione,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,25,obliviscar,,,,Clementine,VUL
28,Hosea,1,6,Hosea 1:6,26,eorum.,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,1,Et,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,2,domui,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,3,Juda,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,4,"miserebor,",,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,5,et,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,6,salvabo,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,7,eos,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,8,in,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,9,Domino,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,10,Deo,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,11,suo,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,12,;,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,13,et,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,14,non,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,15,salvabo,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,16,eos,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,17,in,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,18,arcu,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,19,et,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,20,"gladio,",,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,21,et,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,22,in,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,23,"bello,",,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,24,et,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,25,in,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,26,"equis,",,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,27,et,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,28,in,,,,Clementine,VUL
28,Hosea,1,7,Hosea 1:7,29,equitibus.,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,1,Et,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,2,ablactavit,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,3,eam,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,4,quæ,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,5,erat,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,6,Absque,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,7,misericordia.,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,8,Et,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,9,"concepit,",,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,10,et,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,11,peperit,,,,Clementine,VUL
28,Hosea,1,8,Hosea 1:8,12,filium.,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,1,Et,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,2,dixit,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,3,:,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,4,Voca,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,5,nomen,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,6,"ejus,",,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,7,Non,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,8,populus,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,9,"meus,",,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,10,quia,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,11,vos,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,12,non,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,13,populus,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,14,"meus,",,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,15,et,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,16,ego,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,17,non,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,18,ero,,,,Clementine,VUL
28,Hosea,1,9,Hosea 1:9,19,vester.,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,1,Et,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,2,erit,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,3,numerus,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,4,filiorum,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,5,Israël,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,6,quasi,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,7,arena,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,8,"maris,",,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,9,quæ,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,10,sine,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,11,mensura,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,12,"est,",,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,13,et,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,14,non,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,15,numerabitur.,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,16,Et,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,17,erit,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,18,in,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,19,loco,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,20,ubi,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,21,dicetur,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,22,eis,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,23,:,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,24,Non,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,25,populus,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,26,meus,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,27,vos,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,28,:,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,29,dicetur,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,30,eis,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,31,:,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,32,Filii,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,33,Dei,,,,Clementine,VUL
28,Hosea,1,10,Hosea 1:10,34,viventis.,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,1,Et,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,2,congregabuntur,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,3,filii,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,4,Juda,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,5,et,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,6,filii,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,7,Israël,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,8,pariter,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,9,;,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,10,et,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,11,ponent,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,12,sibimet,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,13,caput,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,14,"unum,",,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,15,et,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,16,ascendent,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,17,de,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,18,"terra,",,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,19,quia,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,20,magnus,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,21,dies,,,,Clementine,VUL
28,Hosea,1,11,Hosea 1:11,22,Jezrahel.,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,1,Dicite,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,2,fratribus,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,3,vestris,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,4,:,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,5,Populus,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,6,meus,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,7,;,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,8,et,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,9,sorori,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,10,vestræ,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,11,:,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,12,Misericordiam,,,,Clementine,VUL
28,Hosea,2,1,Hosea 2:1,13,consecuta.,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,1,Judicate,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,2,matrem,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,3,"vestram,",,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,4,"judicate,",,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,5,quoniam,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,6,ipsa,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,7,non,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,8,uxor,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,9,"mea,",,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,10,et,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,11,ego,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,12,non,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,13,vir,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,14,ejus.,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,15,Auferat,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,16,fornicationes,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,17,suas,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,18,a,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,19,facie,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,20,"sua,",,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,21,et,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,22,adulteria,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,23,sua,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,24,de,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,25,medio,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,26,uberum,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,27,suorum,,,,Clementine,VUL
28,Hosea,2,2,Hosea 2:2,28,;,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,1,ne,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,2,forte,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,3,expoliem,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,4,eam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,5,"nudam,",,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,6,et,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,7,statuam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,8,eam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,9,secundum,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,10,diem,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,11,nativitatis,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,12,"suæ,",,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,13,et,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,14,ponam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,15,eam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,16,quasi,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,17,"solitudinem,",,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,18,et,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,19,statuam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,20,eam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,21,velut,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,22,terram,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,23,"inviam,",,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,24,et,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,25,interficiam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,26,eam,,,,Clementine,VUL
28,Hosea,2,3,Hosea 2:3,27,siti.,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,1,Et,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,2,filiorum,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,3,illius,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,4,non,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,5,"miserebor,",,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,6,quoniam,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,7,filii,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,8,fornicationum,,,,Clementine,VUL
28,Hosea,2,4,Hosea 2:4,9,sunt.,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,1,Quia,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,2,fornicata,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,3,est,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,4,mater,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,5,"eorum,",,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,6,confusa,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,7,est,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,8,quæ,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,9,concepit,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,10,eos,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,11,;,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,12,quia,,,,Clementine,VUL
28,Hosea,2,5,Hosea 2:5,13,dixit,,,,Clementine,VUL
