book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
23,Isaiah,1,1,Isaiah 1:1,1,Visio,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,2,"Isaiæ,",,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,3,filii,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,4,"Amos,",,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,5,quam,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,6,vidit,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,7,super,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,8,Judam,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,9,et,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,10,"Jerusalem,",,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,11,in,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,12,diebus,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,13,"Oziæ,",,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,14,"Joathan,",,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,15,"Achaz,",,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,16,et,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,17,"Ezechiæ,",,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,18,regum,,,,Clementine,VUL
23,Isaiah,1,1,Isaiah 1:1,19,Juda.,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,1,"Audite,",,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,2,"cæli,",,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,3,et,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,4,auribus,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,5,"percipe,",,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,6,"terra,",,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,7,quoniam,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,8,Dominus,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,9,locutus,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,10,est.,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,11,Filios,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,12,"enutrivi,",,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,13,et,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,14,exaltavi,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,15,;,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,16,ipsi,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,17,autem,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,18,spreverunt,,,,Clementine,VUL
23,Isaiah,1,2,Isaiah 1:2,19,me.,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,1,Cognovit,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,2,bos,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,3,possessorem,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,4,"suum,",,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,5,et,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,6,asinus,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,7,præsepe,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,8,domini,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,9,sui,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,10,;,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,11,Israël,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,12,autem,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,13,me,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,14,non,,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,15,"cognovit,",,,,Clementine,VUL
23,Isaiah,1,3,Isaiah 1:3,16,et,,,,Clementine,VUL
