book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
18,Job,1,1,Job 1:1,1,Vir,,,,Clementine,VUL
18,Job,1,1,Job 1:1,2,erat,,,,Clementine,VUL
18,Job,1,1,Job 1:1,3,in,,,,Clementine,VUL
18,Job,1,1,Job 1:1,4,terra,,,,Clementine,VUL
18,Job,1,1,Job 1:1,5,"Hus,",,,,Clementine,VUL
18,Job,1,1,Job 1:1,6,nomine,,,,Clementine,VUL
18,Job,1,1,Job 1:1,7,Job,,,,Clementine,VUL
18,Job,1,1,Job 1:1,8,:,,,,Clementine,VUL
18,Job,1,1,Job 1:1,9,et,,,,Clementine,VUL
18,Job,1,1,Job 1:1,10,erat,,,,Clementine,VUL
18,Job,1,1,Job 1:1,11,vir,,,,Clementine,VUL
18,Job,1,1,Job 1:1,12,ille,,,,Clementine,VUL
18,Job,1,1,Job 1:1,13,"simplex,",,,,Clementine,VUL
18,Job,1,1,Job 1:1,14,et,,,,Clementine,VUL
18,Job,1,1,Job 1:1,15,"rectus,",,,,Clementine,VUL
18,Job,1,1,Job 1:1,16,ac,,,,Clementine,VUL
18,Job,1,1,Job 1:1,17,timens,,,,Clementine,VUL
18,Job,1,1,Job 1:1,18,"Deum,",,,,Clementine,VUL
18,Job,1,1,Job 1:1,19,et,,,,Clementine,VUL
18,Job,1,1,Job 1:1,20,recedens,,,,Clementine,VUL
18,Job,1,1,Job 1:1,21,a,,,,Clementine,VUL
18,Job,1,1,Job 1:1,22,malo.,,,,Clementine,VUL
18,Job,1,2,Job 1:2,1,Natique,,,,Clementine,VUL
18,Job,1,2,Job 1:2,2,sunt,,,,Clementine,VUL
18,Job,1,2,Job 1:2,3,ei,,,,Clementine,VUL
18,Job,1,2,Job 1:2,4,septem,,,,Clementine,VUL
18,Job,1,2,Job 1:2,5,"filii,",,,,Clementine,VUL
18,Job,1,2,Job 1:2,6,et,,,,Clementine,VUL
18,Job,1,2,Job 1:2,7,tres,,,,Clementine,VUL
18,Job,1,2,Job 1:2,8,filiæ.,,,,Clementine,VUL
18,Job,1,3,Job 1:3,1,Et,,,,Clementine,VUL
18,Job,1,3,Job 1:3,2,fuit,,,,Clementine,VUL
18,Job,1,3,Job 1:3,3,possessio,,,,Clementine,VUL
18,Job,1,3,Job 1:3,4,ejus,,,,Clementine,VUL
18,Job,1,3,Job 1:3,5,septem,,,,Clementine,VUL
18,Job,1,3,Job 1:3,6,millia,,,,Clementine,VUL
18,Job,1,3,Job 1:3,7,"ovium,",,,,Clementine,VUL
18,Job,1,3,Job 1:3,8,et,,,,Clementine,VUL
18,Job,1,3,Job 1:3,9,tria,,,,Clementine,VUL
18,Job,1,3,Job 1:3,10,millia,,,,Clementine,VUL
18,Job,1,3,Job 1:3,11,"camelorum,",,,,Clementine,VUL
18,Job,1,3,Job 1:3,12,quingenta,,,,Clementine,VUL
18,Job,1,3,Job 1:3,13,quoque,,,,Clementine,VUL
18,Job,1,3,Job 1:3,14,juga,,,,Clementine,VUL
18,Job,1,3,Job 1:3,15,"boum,",,,,Clementine,VUL
18,Job,1,3,Job 1:3,16,et,,,,Clementine,VUL
18,Job,1,3,Job 1:3,17,quingentæ,,,,Clementine,VUL
18,Job,1,3,Job 1:3,18,"asinæ,",,,,Clementine,VUL
18,Job,1,3,Job 1:3,19,ac,,,,Clementine,VUL
18,Job,1,3,Job 1:3,20,familia,,,,Clementine,VUL
18,Job,1,3,Job 1:3,21,multa,,,,Clementine,VUL
18,Job,1,3,Job 1:3,22,nimis,,,,Clementine,VUL
18,Job,1,3,Job 1:3,23,:,,,,Clementine,VUL
18,Job,1,3,Job 1:3,24,eratque,,,,Clementine,VUL
18,Job,1,3,Job 1:3,25,vir,,,,Clementine,VUL
18,Job,1,3,Job 1:3,26,ille,,,,Clementine,VUL
18,Job,1,3,Job 1:3,27,magnus,,,,Clementine,VUL
18,Job,1,3,Job 1:3,28,inter,,,,Clementine,VUL
18,Job,1,3,Job 1:3,29,omnes,,,,Clementine,VUL
18,Job,1,3,Job 1:3,30,orientales.,,,,Clementine,VUL
18,Job,1,4,Job 1:4,1,Et,,,,Clementine,VUL
18,Job,1,4,Job 1:4,2,ibant,,,,Clementine,VUL
18,Job,1,4,Job 1:4,3,filii,,,,Clementine,VUL
18,Job,1,4,Job 1:4,4,"ejus,",,,,Clementine,VUL
18,Job,1,4,Job 1:4,5,et,,,,Clementine,VUL
