book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
29,Joel,1,1,Joel 1:1,1,Verbum,,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,2,"Domini,",,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,3,quod,,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,4,factum,,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,5,est,,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,6,ad,,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,7,"Joël,",,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,8,filium,,,,Clementine,VUL
29,Joel,1,1,Joel 1:1,9,Phatuel.,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,1,Audite,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,2,"hoc,",,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,3,"senes,",,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,4,et,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,5,auribus,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,6,"percipite,",,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,7,omnes,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,8,habitatores,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,9,terræ,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,10,:,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,11,si,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,12,factum,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,13,est,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,14,istud,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,15,in,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,16,diebus,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,17,"vestris,",,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,18,aut,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,19,in,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,20,diebus,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,21,patrum,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,22,vestrorum,,,,Clementine,VUL
29,Joel,1,2,Joel 1:2,23,?,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,1,Super,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,2,hoc,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,3,filiis,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,4,vestris,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,5,"narrate,",,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,6,et,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,7,filii,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,8,vestri,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,9,filiis,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,10,"suis,",,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,11,et,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,12,filii,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,13,eorum,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,14,generationi,,,,Clementine,VUL
29,Joel,1,3,Joel 1:3,15,alteræ.,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,1,Residuum,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,2,erucæ,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,3,comedit,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,4,"locusta,",,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,5,et,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,6,residuum,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,7,locustæ,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,8,comedit,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,9,"bruchus,",,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,10,et,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,11,residuum,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,12,bruchi,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,13,comedit,,,,Clementine,VUL
29,Joel,1,4,Joel 1:4,14,rubigo.,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,1,"Expergiscimini,",,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,2,"ebrii,",,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,3,et,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,4,flete,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,5,et,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,6,"ululate,",,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,7,omnes,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,8,qui,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,9,bibitis,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,10,vinum,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,11,in,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,12,"dulcedine,",,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,13,quoniam,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,14,periit,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,15,ab,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,16,ore,,,,Clementine,VUL
29,Joel,1,5,Joel 1:5,17,vestro.,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,1,Gens,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,2,enim,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,3,ascendit,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,4,super,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,5,terram,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,6,"meam,",,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,7,fortis,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,8,et,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,9,innumerabilis,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,10,:,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,11,dentes,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,12,ejus,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,13,ut,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,14,dentes,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,15,"leonis,",,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,16,et,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,17,molares,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,18,ejus,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,19,ut,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,20,catuli,,,,Clementine,VUL
29,Joel,1,6,Joel 1:6,21,leonis.,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,1,Posuit,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,2,vineam,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,3,meam,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,4,in,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,5,"desertum,",,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,6,et,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,7,ficum,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,8,meam,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,9,decorticavit,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,10,;,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,11,nudans,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,12,spoliavit,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,13,"eam,",,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,14,et,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,15,projecit,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,16,:,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,17,albi,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,18,facti,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,19,sunt,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,20,rami,,,,Clementine,VUL
29,Joel,1,7,Joel 1:7,21,ejus.,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,1,Plange,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,2,quasi,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,3,virgo,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,4,accincta,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,5,sacco,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,6,super,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,7,virum,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,8,pubertatis,,,,Clementine,VUL
29,Joel,1,8,Joel 1:8,9,suæ.,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,1,Periit,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,2,sacrificium,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,3,et,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,4,libatio,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,5,de,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,6,domo,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,7,Domini,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,8,;,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,9,luxerunt,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,10,"sacerdotes,",,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,11,ministri,,,,Clementine,VUL
29,Joel,1,9,Joel 1:9,12,Domini.,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,1,Depopulata,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,2,est,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,3,"regio,",,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,4,luxit,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,5,"humus,",,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,6,quoniam,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,7,devastatum,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,8,est,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,9,"triticum,",,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,10,confusum,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,11,est,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,12,"vinum,",,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,13,elanguit,,,,Clementine,VUL
29,Joel,1,10,Joel 1:10,14,oleum.,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,1,Confusi,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,2,sunt,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,3,"agricolæ,",,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,4,ululaverunt,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,5,vinitores,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,6,super,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,7,frumento,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,8,et,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,9,"hordeo,",,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,10,quia,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,11,periit,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,12,messis,,,,Clementine,VUL
29,Joel,1,11,Joel 1:11,13,agri.,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,1,Vinea,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,2,confusa,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,3,"est,",,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,4,et,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,5,ficus,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,6,elanguit,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,7,;,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,8,"malogranatum,",,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,9,et,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,10,"palma,",,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,11,et,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,12,"malum,",,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,13,et,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,14,omnia,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,15,ligna,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,16,agri,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,17,"aruerunt,",,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,18,quia,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,19,confusum,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,20,est,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,21,gaudium,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,22,a,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,23,filiis,,,,Clementine,VUL
29,Joel,1,12,Joel 1:12,24,hominum.,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,1,Accingite,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,2,"vos,",,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,3,et,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,4,"plangite,",,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,5,sacerdotes,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,6,:,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,7,"ululate,",,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,8,ministri,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,9,altaris,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,10,;,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,11,"ingredimini,",,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,12,cubate,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,13,in,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,14,"sacco,",,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,15,ministri,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,16,Dei,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,17,"mei,",,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,18,quoniam,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,19,interiit,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,20,de,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,21,domo,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,22,Dei,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,23,vestri,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,24,sacrificium,,,,Clementine,VUL
29,Joel,1,13,Joel 1:13,25,et,,,,Clementine,VUL
