book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
44,John,1,1,John 1:1,1,In,,,,Clementine,VUL
44,John,1,1,John 1:1,2,principio,,,,Clementine,VUL
44,John,1,1,John 1:1,3,erat,,,,Clementine,VUL
44,John,1,1,John 1:1,4,"Verbum,",,,,Clementine,VUL
44,John,1,1,John 1:1,5,et,,,,Clementine,VUL
44,John,1,1,John 1:1,6,Verbum,,,,Clementine,VUL
44,John,1,1,John 1:1,7,erat,,,,Clementine,VUL
44,John,1,1,John 1:1,8,apud,,,,Clementine,VUL
44,John,1,1,John 1:1,9,"Deum,",,,,Clementine,VUL
44,John,1,1,John 1:1,10,et,,,,Clementine,VUL
44,John,1,1,John 1:1,11,Deus,,,,Clementine,VUL
44,John,1,1,John 1:1,12,erat,,,,Clementine,VUL
44,John,1,1,John 1:1,13,Verbum.,,,,Clementine,VUL
44,John,1,2,John 1:2,1,Hoc,,,,Clementine,VUL
44,John,1,2,John 1:2,2,erat,,,,Clementine,VUL
44,John,1,2,John 1:2,3,in,,,,Clementine,VUL
44,John,1,2,John 1:2,4,principio,,,,Clementine,VUL
44,John,1,2,John 1:2,5,apud,,,,Clementine,VUL
44,John,1,2,John 1:2,6,Deum.,,,,Clementine,VUL
44,John,1,3,John 1:3,1,Omnia,,,,Clementine,VUL
44,John,1,3,John 1:3,2,per,,,,Clementine,VUL
44,John,1,3,John 1:3,3,ipsum,,,,Clementine,VUL
44,John,1,3,John 1:3,4,facta,,,,Clementine,VUL
44,John,1,3,John 1:3,5,sunt,,,,Clementine,VUL
44,John,1,3,John 1:3,6,:,,,,Clementine,VUL
44,John,1,3,John 1:3,7,et,,,,Clementine,VUL
44,John,1,3,John 1:3,8,sine,,,,Clementine,VUL
44,John,1,3,John 1:3,9,ipso,,,,Clementine,VUL
44,John,1,3,John 1:3,10,factum,,,,Clementine,VUL
44,John,1,3,John 1:3,11,est,,,,Clementine,VUL
44,John,1,3,John 1:3,12,"nihil,",,,,Clementine,VUL
44,John,1,3,John 1:3,13,quod,,,,Clementine,VUL
44,John,1,3,John 1:3,14,factum,,,,Clementine,VUL
44,John,1,3,John 1:3,15,est.,,,,Clementine,VUL
44,John,1,4,John 1:4,1,In,,,,Clementine,VUL
44,John,1,4,John 1:4,2,ipso,,,,Clementine,VUL
44,John,1,4,John 1:4,3,vita,,,,Clementine,VUL
44,John,1,4,John 1:4,4,"erat,",,,,Clementine,VUL
44,John,1,4,John 1:4,5,et,,,,Clementine,VUL
44,John,1,4,John 1:4,6,vita,,,,Clementine,VUL
44,John,1,4,John 1:4,7,erat,,,,Clementine,VUL
44,John,1,4,John 1:4,8,lux,,,,Clementine,VUL
44,John,1,4,John 1:4,9,hominum,,,,Clementine,VUL
44,John,1,4,John 1:4,10,:,,,,Clementine,VUL
44,John,1,5,John 1:5,1,et,,,,Clementine,VUL
44,John,1,5,John 1:5,2,lux,,,,Clementine,VUL
44,John,1,5,John 1:5,3,in,,,,Clementine,VUL
44,John,1,5,John 1:5,4,tenebris,,,,Clementine,VUL
44,John,1,5,John 1:5,5,"lucet,",,,,Clementine,VUL
44,John,1,5,John 1:5,6,et,,,,Clementine,VUL
44,John,1,5,John 1:5,7,tenebræ,,,,Clementine,VUL
44,John,1,5,John 1:5,8,eam,,,,Clementine,VUL
44,John,1,5,John 1:5,9,non,,,,Clementine,VUL
44,John,1,5,John 1:5,10,comprehenderunt.,,,,Clementine,VUL
44,John,1,6,John 1:6,1,Fuit,,,,Clementine,VUL
44,John,1,6,John 1:6,2,homo,,,,Clementine,VUL
44,John,1,6,John 1:6,3,missus,,,,Clementine,VUL
44,John,1,6,John 1:6,4,a,,,,Clementine,VUL
44,John,1,6,John 1:6,5,"Deo,",,,,Clementine,VUL
44,John,1,6,John 1:6,6,cui,,,,Clementine,VUL
44,John,1,6,John 1:6,7,nomen,,,,Clementine,VUL
44,John,1,6,John 1:6,8,erat,,,,Clementine,VUL
44,John,1,6,John 1:6,9,Joannes.,,,,Clementine,VUL
44,John,1,7,John 1:7,1,Hic,,,,Clementine,VUL
44,John,1,7,John 1:7,2,venit,,,,Clementine,VUL
44,John,1,7,John 1:7,3,in,,,,Clementine,VUL
44,John,1,7,John 1:7,4,testimonium,,,,Clementine,VUL
44,John,1,7,John 1:7,5,ut,,,,Clementine,VUL
44,John,1,7,John 1:7,6,testimonium,,,,Clementine,VUL
44,John,1,7,John 1:7,7,perhiberet,,,,Clementine,VUL
44,John,1,7,John 1:7,8,de,,,,Clementine,VUL
44,John,1,7,John 1:7,9,"lumine,",,,,Clementine,VUL
44,John,1,7,John 1:7,10,ut,,,,Clementine,VUL
44,John,1,7,John 1:7,11,omnes,,,,Clementine,VUL
44,John,1,7,John 1:7,12,crederent,,,,Clementine,VUL
44,John,1,7,John 1:7,13,per,,,,Clementine,VUL
44,John,1,7,John 1:7,14,illum.,,,,Clementine,VUL
44,John,1,8,John 1:8,1,Non,,,,Clementine,VUL
44,John,1,8,John 1:8,2,erat,,,,Clementine,VUL
44,John,1,8,John 1:8,3,ille,,,,Clementine,VUL
44,John,1,8,John 1:8,4,"lux,",,,,Clementine,VUL
44,John,1,8,John 1:8,5,sed,,,,Clementine,VUL
44,John,1,8,John 1:8,6,ut,,,,Clementine,VUL
44,John,1,8,John 1:8,7,testimonium,,,,Clementine,VUL
44,John,1,8,John 1:8,8,perhiberet,,,,Clementine,VUL
44,John,1,8,John 1:8,9,de,,,,Clementine,VUL
44,John,1,8,John 1:8,10,lumine.,,,,Clementine,VUL
44,John,1,9,John 1:9,1,Erat,,,,Clementine,VUL
44,John,1,9,John 1:9,2,lux,,,,Clementine,VUL
44,John,1,9,John 1:9,3,"vera,",,,,Clementine,VUL
44,John,1,9,John 1:9,4,quæ,,,,Clementine,VUL
44,John,1,9,John 1:9,5,illuminat,,,,Clementine,VUL
44,John,1,9,John 1:9,6,omnem,,,,Clementine,VUL
44,John,1,9,John 1:9,7,hominem,,,,Clementine,VUL
44,John,1,9,John 1:9,8,venientem,,,,Clementine,VUL
44,John,1,9,John 1:9,9,in,,,,Clementine,VUL
44,John,1,9,John 1:9,10,hunc,,,,Clementine,VUL
44,John,1,9,John 1:9,11,mundum.,,,,Clementine,VUL
44,John,1,10,John 1:10,1,In,,,,Clementine,VUL
44,John,1,10,John 1:10,2,mundo,,,,Clementine,VUL
44,John,1,10,John 1:10,3,"erat,",,,,Clementine,VUL
44,John,1,10,John 1:10,4,et,,,,Clementine,VUL
44,John,1,10,John 1:10,5,mundus,,,,Clementine,VUL
44,John,1,10,John 1:10,6,per,,,,Clementine,VUL
44,John,1,10,John 1:10,7,ipsum,,,,Clementine,VUL
44,John,1,10,John 1:10,8,factus,,,,Clementine,VUL
44,John,1,10,John 1:10,9,"est,",,,,Clementine,VUL
44,John,1,10,John 1:10,10,et,,,,Clementine,VUL
44,John,1,10,John 1:10,11,mundus,,,,Clementine,VUL
44,John,1,10,John 1:10,12,eum,,,,Clementine,VUL
44,John,1,10,John 1:10,13,non,,,,Clementine,VUL
44,John,1,10,John 1:10,14,cognovit.,,,,Clementine,VUL
44,John,1,11,John 1:11,1,In,,,,Clementine,VUL
44,John,1,11,John 1:11,2,propria,,,,Clementine,VUL
44,John,1,11,John 1:11,3,"venit,",,,,Clementine,VUL
44,John,1,11,John 1:11,4,et,,,,Clementine,VUL
44,John,1,11,John 1:11,5,sui,,,,Clementine,VUL
44,John,1,11,John 1:11,6,eum,,,,Clementine,VUL
44,John,1,11,John 1:11,7,non,,,,Clementine,VUL
44,John,1,11,John 1:11,8,receperunt.,,,,Clementine,VUL
44,John,1,12,John 1:12,1,Quotquot,,,,Clementine,VUL
44,John,1,12,John 1:12,2,autem,,,,Clementine,VUL
44,John,1,12,John 1:12,3,receperunt,,,,Clementine,VUL
44,John,1,12,John 1:12,4,"eum,",,,,Clementine,VUL
44,John,1,12,John 1:12,5,dedit,,,,Clementine,VUL
44,John,1,12,John 1:12,6,eis,,,,Clementine,VUL
44,John,1,12,John 1:12,7,potestatem,,,,Clementine,VUL
44,John,1,12,John 1:12,8,filios,,,,Clementine,VUL
44,John,1,12,John 1:12,9,Dei,,,,Clementine,VUL
44,John,1,12,John 1:12,10,"fieri,",,,,Clementine,VUL
44,John,1,12,John 1:12,11,his,,,,Clementine,VUL
44,John,1,12,John 1:12,12,qui,,,,Clementine,VUL
44,John,1,12,John 1:12,13,credunt,,,,Clementine,VUL
44,John,1,12,John 1:12,14,in,,,,Clementine,VUL
44,John,1,12,John 1:12,15,nomine,,,,Clementine,VUL
44,John,1,12,John 1:12,16,ejus,,,,Clementine,VUL
44,John,1,12,John 1:12,17,:,,,,Clementine,VUL
44,John,1,13,John 1:13,1,qui,,,,Clementine,VUL
44,John,1,13,John 1:13,2,non,,,,Clementine,VUL
44,John,1,13,John 1:13,3,ex,,,,Clementine,VUL
44,John,1,13,John 1:13,4,"sanguinibus,",,,,Clementine,VUL
44,John,1,13,John 1:13,5,neque,,,,Clementine,VUL
44,John,1,13,John 1:13,6,ex,,,,Clementine,VUL
44,John,1,13,John 1:13,7,voluntate,,,,Clementine,VUL
44,John,1,13,John 1:13,8,"carnis,",,,,Clementine,VUL
44,John,1,13,John 1:13,9,neque,,,,Clementine,VUL
44,John,1,13,John 1:13,10,ex,,,,Clementine,VUL
44,John,1,13,John 1:13,11,voluntate,,,,Clementine,VUL
44,John,1,13,John 1:13,12,"viri,",,,,Clementine,VUL
44,John,1,13,John 1:13,13,sed,,,,Clementine,VUL
44,John,1,13,John 1:13,14,ex,,,,Clementine,VUL
44,John,1,13,John 1:13,15,Deo,,,,Clementine,VUL
44,John,1,13,John 1:13,16,nati,,,,Clementine,VUL
44,John,1,13,John 1:13,17,sunt.,,,,Clementine,VUL
44,John,1,14,John 1:14,1,Et,,,,Clementine,VUL
44,John,1,14,John 1:14,2,Verbum,,,,Clementine,VUL
44,John,1,14,John 1:14,3,caro,,,,Clementine,VUL
44,John,1,14,John 1:14,4,factum,,,,Clementine,VUL
44,John,1,14,John 1:14,5,"est,",,,,Clementine,VUL
44,John,1,14,John 1:14,6,et,,,,Clementine,VUL
44,John,1,14,John 1:14,7,habitavit,,,,Clementine,VUL
44,John,1,14,John 1:14,8,in,,,,Clementine,VUL
44,John,1,14,John 1:14,9,nobis,,,,Clementine,VUL
44,John,1,14,John 1:14,10,:,,,,Clementine,VUL
44,John,1,14,John 1:14,11,et,,,,Clementine,VUL
