book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
32,Jonah,1,1,Jonah 1:1,1,Et,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,2,factum,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,3,est,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,4,verbum,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,5,Domini,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,6,ad,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,7,"Jonam,",,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,8,filium,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,9,"Amathi,",,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,10,dicens,,,,Clementine,VUL
32,Jonah,1,1,Jonah 1:1,11,:,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,1,"Surge,",,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,2,et,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,3,vade,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,4,in,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,5,"Niniven,",,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,6,civitatem,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,7,"grandem,",,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,8,et,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,9,prædica,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,10,in,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,11,"ea,",,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,12,quia,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,13,ascendit,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,14,malitia,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,15,ejus,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,16,coram,,,,Clementine,VUL
32,Jonah,1,2,Jonah 1:2,17,me.,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,1,Et,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,2,surrexit,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,3,"Jonas,",,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,4,ut,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,5,fugeret,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,6,in,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,7,Tharsis,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,8,a,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,9,facie,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,10,"Domini,",,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,11,et,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,12,descendit,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,13,in,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,14,Joppen,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,15,:,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,16,et,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,17,invenit,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,18,navem,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,19,euntem,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,20,in,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,21,"Tharsis,",,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,22,et,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,23,dedit,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,24,naulum,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,25,"ejus,",,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,26,et,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,27,descendit,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,28,in,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,29,eam,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,30,ut,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,31,iret,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,32,cum,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,33,eis,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,34,in,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,35,Tharsis,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,36,a,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,37,facie,,,,Clementine,VUL
32,Jonah,1,3,Jonah 1:3,38,Domini.,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,1,Dominus,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,2,autem,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,3,misit,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,4,ventum,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,5,magnum,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,6,in,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,7,mare,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,8,:,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,9,et,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,10,facta,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,11,est,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,12,tempestas,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,13,magna,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,14,in,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,15,"mari,",,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,16,et,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,17,navis,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,18,periclitabatur,,,,Clementine,VUL
32,Jonah,1,4,Jonah 1:4,19,conteri.,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,1,Et,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,2,timuerunt,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,3,"nautæ,",,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,4,et,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,5,clamaverunt,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,6,viri,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,7,ad,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,8,deum,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,9,"suum,",,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,10,et,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,11,miserunt,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,12,vasa,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,13,quæ,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,14,erant,,,,Clementine,VUL
32,Jonah,1,5,Jonah 1:5,15,in,,,,Clementine,VUL
