book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
66,Jude,1,1,Jude 1:1,1,Judas,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,2,Jesu,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,3,Christi,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,4,"servus,",,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,5,frater,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,6,autem,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,7,"Jacobi,",,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,8,his,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,9,qui,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,10,sunt,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,11,in,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,12,Deo,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,13,Patre,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,14,"dilectis,",,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,15,et,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,16,Christo,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,17,Jesu,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,18,"conservatis,",,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,19,et,,,,Clementine,VUL
66,Jude,1,1,Jude 1:1,20,vocatis.,,,,Clementine,VUL
66,Jude,1,2,Jude 1:2,1,Misericordia,,,,Clementine,VUL
66,Jude,1,2,Jude 1:2,2,"vobis,",,,,Clementine,VUL
66,Jude,1,2,Jude 1:2,3,et,,,,Clementine,VUL
66,Jude,1,2,Jude 1:2,4,"pax,",,,,Clementine,VUL
66,Jude,1,2,Jude 1:2,5,et,,,,Clementine,VUL
66,Jude,1,2,Jude 1:2,6,caritas,,,,Clementine,VUL
66,Jude,1,2,Jude 1:2,7,adimpleatur.,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,1,"Carissimi,",,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,2,omnem,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,3,sollicitudinem,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,4,faciens,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,5,scribendi,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,6,vobis,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,7,de,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,8,communi,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,9,vestra,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,10,"salute,",,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,11,necesse,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,12,habui,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,13,scribere,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,14,vobis,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,15,:,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,16,deprecans,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,17,supercertari,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,18,semel,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,19,traditæ,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,20,sanctis,,,,Clementine,VUL
66,Jude,1,3,Jude 1:3,21,fidei.,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,1,Subintroierunt,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,2,enim,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,3,quidam,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,4,homines,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,5,(qui,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,6,olim,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,7,præscripti,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,8,sunt,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,9,in,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,10,hoc,,,,Clementine,VUL
66,Jude,1,4,Jude 1:4,11,judicium),,,,Clementine,VUL
