book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
7,Judges,1,1,Judges 1:1,1,Post,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,2,mortem,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,3,"Josue,",,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,4,consuluerunt,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,5,filii,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,6,Israël,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,7,"Dominum,",,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,8,dicentes,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,9,:,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,10,Quis,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,11,ascendet,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,12,ante,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,13,nos,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,14,contra,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,15,"Chananæum,",,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,16,et,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,17,erit,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,18,dux,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,19,belli,,,,Clementine,VUL
7,Judges,1,1,Judges 1:1,20,?,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,1,Dixitque,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,2,Dominus,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,3,:,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,4,Judas,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,5,ascendet,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,6,:,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,7,ecce,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,8,tradidi,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,9,terram,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,10,in,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,11,manus,,,,Clementine,VUL
7,Judges,1,2,Judges 1:2,12,ejus.,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,1,Et,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,2,ait,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,3,Judas,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,4,Simeoni,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,5,fratri,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,6,suo,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,7,:,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,8,Ascende,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,9,mecum,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,10,in,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,11,sortem,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,12,"meam,",,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,13,et,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,14,pugna,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,15,contra,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,16,"Chananæum,",,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,17,ut,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,18,et,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,19,ego,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,20,pergam,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,21,tecum,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,22,in,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,23,sortem,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,24,tuam.,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,25,Et,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,26,abiit,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,27,cum,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,28,eo,,,,Clementine,VUL
7,Judges,1,3,Judges 1:3,29,Simeon.,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,1,Ascenditque,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,2,"Judas,",,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,3,et,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,4,tradidit,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,5,Dominus,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,6,Chananæum,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,7,ac,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,8,Pherezæum,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,9,in,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,10,manus,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,11,eorum,,,,Clementine,VUL
7,Judges,1,4,Judges 1:4,12,:,,,,Clementine,VUL
