book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
25,Lamentations,1,1,Lamentations 1:1,1,Quomodo,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,2,sedet,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,3,sola,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,4,civitas,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,5,plena,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,6,populo,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,7,!,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,8,Facta,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,9,est,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,10,quasi,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,11,vidua,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,12,domina,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,13,gentium,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,14,;,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,15,princeps,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,16,provinciarum,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,17,facta,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,18,est,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,19,sub,,,,Clementine,VUL
25,Lamentations,1,1,Lamentations 1:1,20,tributo.,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,1,Plorans,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,2,ploravit,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,3,in,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,4,"nocte,",,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,5,et,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,6,lacrimæ,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,7,ejus,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,8,in,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,9,maxillis,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,10,ejus,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,11,:,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,12,non,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,13,est,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,14,qui,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,15,consoletur,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,16,eam,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,17,ex,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,18,omnibus,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,19,caris,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,20,ejus,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,21,;,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,22,omnes,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,23,amici,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,24,ejus,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,25,spreverunt,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,26,"eam,",,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,27,et,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,28,facti,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,29,sunt,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,30,ei,,,,Clementine,VUL
25,Lamentations,1,2,Lamentations 1:2,31,inimici.,,,,Clementine,VUL
25,Lamentations,1,3,Lamentations 1:3,1,Migravit,,,,Clementine,VUL
