book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
3,Leviticus,1,1,Leviticus 1:1,1,Vocavit,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,2,autem,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,3,"Moysen,",,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,4,et,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,5,locutus,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,6,est,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,7,ei,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,8,Dominus,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,9,de,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,10,tabernaculo,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,11,"testimonii,",,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,12,dicens,,,,Clementine,VUL
3,Leviticus,1,1,Leviticus 1:1,13,:,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,1,Loquere,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,2,filiis,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,3,"Israël,",,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,4,et,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,5,dices,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,6,ad,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,7,eos,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,8,:,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,9,"Homo,",,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,10,qui,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,11,obtulerit,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,12,ex,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,13,vobis,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,14,hostiam,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,15,Domino,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,16,de,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,17,"pecoribus,",,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,18,id,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,19,"est,",,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,20,de,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,21,bobus,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,22,et,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,23,ovibus,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,24,offerens,,,,Clementine,VUL
3,Leviticus,1,2,Leviticus 1:2,25,"victimas,",,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,1,si,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,2,holocaustum,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,3,fuerit,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,4,ejus,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,5,"oblatio,",,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,6,ac,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,7,de,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,8,armento,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,9,:,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,10,masculum,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,11,immaculatum,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,12,offeret,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,13,ad,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,14,ostium,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,15,tabernaculi,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,16,"testimonii,",,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,17,ad,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,18,placandum,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,19,sibi,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,20,Dominum,,,,Clementine,VUL
3,Leviticus,1,3,Leviticus 1:3,21,:,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,1,ponetque,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,2,manum,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,3,super,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,4,caput,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,5,"hostiæ,",,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,6,et,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,7,acceptabilis,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,8,"erit,",,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,9,atque,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,10,in,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,11,expiationem,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,12,ejus,,,,Clementine,VUL
3,Leviticus,1,4,Leviticus 1:4,13,proficiens.,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,1,Immolabitque,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,2,vitulum,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,3,coram,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,4,"Domino,",,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,5,et,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,6,offerent,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,7,filii,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,8,Aaron,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,9,sacerdotes,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,10,sanguinem,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,11,"ejus,",,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,12,fundentes,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,13,per,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,14,altaris,,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,15,"circuitum,",,,,Clementine,VUL
3,Leviticus,1,5,Leviticus 1:5,16,quod,,,,Clementine,VUL
