book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
43,Luke,1,1,Luke 1:1,1,Quoniam,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,2,quidem,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,3,multi,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,4,conati,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,5,sunt,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,6,ordinare,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,7,"narrationem,",,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,8,quæ,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,9,in,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,10,nobis,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,11,completæ,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,12,"sunt,",,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,13,rerum,,,,Clementine,VUL
43,Luke,1,1,Luke 1:1,14,:,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,1,sicut,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,2,tradiderunt,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,3,"nobis,",,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,4,qui,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,5,ab,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,6,initio,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,7,ipsi,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,8,"viderunt,",,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,9,et,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,10,ministri,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,11,fuerunt,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,12,sermonis,,,,Clementine,VUL
43,Luke,1,2,Luke 1:2,13,:,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,1,visum,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,2,est,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,3,et,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,4,"mihi,",,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,5,assecuto,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,6,omnia,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,7,a,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,8,principio,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,9,"diligenter,",,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,10,ex,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,11,ordine,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,12,tibi,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,13,"scribere,",,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,14,optime,,,,Clementine,VUL
43,Luke,1,3,Luke 1:3,15,"Theophile,",,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,1,ut,,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,2,cognoscas,,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,3,eorum,,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,4,"verborum,",,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,5,de,,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,6,quibus,,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,7,eruditus,,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,8,"es,",,,,Clementine,VUL
43,Luke,1,4,Luke 1:4,9,veritatem.,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,1,Fuit,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,2,in,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,3,diebus,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,4,"Herodis,",,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,5,regis,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,6,"Judææ,",,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,7,sacerdos,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,8,quidam,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,9,nomine,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,10,Zacharias,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,11,de,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,12,vice,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,13,"Abia,",,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,14,et,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,15,uxor,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,16,illius,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,17,de,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,18,filiabus,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,19,"Aaron,",,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,20,et,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,21,nomen,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,22,ejus,,,,Clementine,VUL
43,Luke,1,5,Luke 1:5,23,Elisabeth.,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,1,Erant,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,2,autem,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,3,justi,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,4,ambo,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,5,ante,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,6,"Deum,",,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,7,incedentes,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,8,in,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,9,omnibus,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,10,mandatis,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,11,et,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,12,justificationibus,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,13,Domini,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,14,sine,,,,Clementine,VUL
43,Luke,1,6,Luke 1:6,15,querela.,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,1,Et,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,2,non,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,3,erat,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,4,illis,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,5,"filius,",,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,6,eo,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,7,quod,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,8,esset,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,9,Elisabeth,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,10,"sterilis,",,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,11,et,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,12,ambo,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,13,processissent,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,14,in,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,15,diebus,,,,Clementine,VUL
43,Luke,1,7,Luke 1:7,16,suis.,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,1,Factum,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,2,est,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,3,"autem,",,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,4,cum,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,5,sacerdotio,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,6,fungeretur,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,7,in,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,8,ordine,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,9,vicis,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,10,suæ,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,11,ante,,,,Clementine,VUL
43,Luke,1,8,Luke 1:8,12,"Deum,",,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,1,secundum,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,2,consuetudinem,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,3,"sacerdotii,",,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,4,sorte,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,5,exiit,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,6,ut,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,7,incensum,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,8,"poneret,",,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,9,ingressus,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,10,in,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,11,templum,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,12,Domini,,,,Clementine,VUL
43,Luke,1,9,Luke 1:9,13,:,,,,Clementine,VUL
43,Luke,1,10,Luke 1:10,1,et,,,,Clementine,VUL
43,Luke,1,10,Luke 1:10,2,omnis,,,,Clementine,VUL
43,Luke,1,10,Luke 1:10,3,multitudo,,,,Clementine,VUL
