book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
39,Malachi,1,1,Malachi 1:1,1,Onus,,,,Clementine,VUL
39,Malachi,1,1,Malachi 1:1,2,verbi,,,,Clementine,VUL
39,Malachi,1,1,Malachi 1:1,3,Domini,,,,Clementine,VUL
39,Malachi,1,1,Malachi 1:1,4,ad,,,,Clementine,VUL
39,Malachi,1,1,Malachi 1:1,5,Israël,,,,Clementine,VUL
39,Malachi,1,1,Malachi 1:1,6,in,,,,Clementine,VUL
39,Malachi,1,1,Malachi 1:1,7,manu,,,,Clementine,VUL
39,Malachi,1,1,Malachi 1:1,8,Malachiæ.,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,1,Dilexi,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,2,"vos,",,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,3,dicit,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,4,"Dominus,",,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,5,et,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,6,dixistis,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,7,:,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,8,In,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,9,quo,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,10,dilexisti,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,11,nos,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,12,?,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,13,Nonne,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,14,frater,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,15,erat,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,16,Esau,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,17,Jacob,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,18,?,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,19,dicit,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,20,Dominus,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,21,:,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,22,et,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,23,dilexi,,,,Clementine,VUL
39,Malachi,1,2,Malachi 1:2,24,"Jacob,",,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,1,Esau,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,2,autem,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,3,odio,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,4,"habui,",,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,5,et,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,6,posui,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,7,montes,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,8,ejus,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,9,in,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,10,"solitudinem,",,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,11,et,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,12,hæreditatem,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,13,ejus,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,14,in,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,15,dracones,,,,Clementine,VUL
39,Malachi,1,3,Malachi 1:3,16,deserti.,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,1,Quod,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,2,si,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,3,dixerit,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,4,Idumæa,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,5,:,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,6,Destructi,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,7,"sumus,",,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,8,sed,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,9,revertentes,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,10,ædificabimus,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,11,quæ,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,12,destructa,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,13,sunt,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,14,:,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,15,hæc,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,16,dicit,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,17,Dominus,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,18,exercituum,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,19,:,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,20,Isti,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,21,"ædificabunt,",,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,22,et,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,23,ego,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,24,destruam,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,25,:,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,26,et,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,27,vocabuntur,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,28,termini,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,29,"impietatis,",,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,30,et,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,31,populus,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,32,cui,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,33,iratus,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,34,est,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,35,Dominus,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,36,usque,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,37,in,,,,Clementine,VUL
39,Malachi,1,4,Malachi 1:4,38,æternum.,,,,Clementine,VUL
39,Malachi,1,5,Malachi 1:5,1,Et,,,,Clementine,VUL
39,Malachi,1,5,Malachi 1:5,2,oculi,,,,Clementine,VUL
39,Malachi,1,5,Malachi 1:5,3,vestri,,,,Clementine,VUL
39,Malachi,1,5,Malachi 1:5,4,"videbunt,",,,,Clementine,VUL
39,Malachi,1,5,Malachi 1:5,5,et,,,,Clementine,VUL
