book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
42,Mark,1,1,Mark 1:1,1,Initium,,,,Clementine,VUL
42,Mark,1,1,Mark 1:1,2,Evangelii,,,,Clementine,VUL
42,Mark,1,1,Mark 1:1,3,Jesu,,,,Clementine,VUL
42,Mark,1,1,Mark 1:1,4,"Christi,",,,,Clementine,VUL
42,Mark,1,1,Mark 1:1,5,Filii,,,,Clementine,VUL
42,Mark,1,1,Mark 1:1,6,Dei.,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,1,Sicut,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,2,scriptum,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,3,est,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,4,in,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,5,Isaia,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,6,propheta,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,7,:,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,8,Ecce,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,9,ego,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,10,mitto,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,11,angelum,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,12,meum,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,13,ante,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,14,faciem,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,15,"tuam,",,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,16,qui,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,17,præparabit,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,18,viam,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,19,tuam,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,20,ante,,,,Clementine,VUL
42,Mark,1,2,Mark 1:2,21,te.,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,1,Vox,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,2,clamantis,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,3,in,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,4,deserto,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,5,:,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,6,Parate,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,7,viam,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,8,"Domini,",,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,9,rectas,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,10,facite,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,11,semitas,,,,Clementine,VUL
42,Mark,1,3,Mark 1:3,12,ejus.,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,1,Fuit,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,2,Joannes,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,3,in,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,4,deserto,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,5,"baptizans,",,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,6,et,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,7,prædicans,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,8,baptismum,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,9,pœnitentiæ,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,10,in,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,11,remissionem,,,,Clementine,VUL
42,Mark,1,4,Mark 1:4,12,peccatorum.,,,,Clementine,VUL
42,Mark,1,5,Mark 1:5,1,Et,,,,Clementine,VUL
42,Mark,1,5,Mark 1:5,2,egrediebatur,,,,Clementine,VUL
42,Mark,1,5,Mark 1:5,3,ad,,,,Clementine,VUL
42,Mark,1,5,Mark 1:5,4,eum,,,,Clementine,VUL
42,Mark,1,5,Mark 1:5,5,omnis,,,,Clementine,VUL
