book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
41,Matthew,1,1,Matthew 1:1,1,Liber,,,,Clementine,VUL
41,Matthew,1,1,Matthew 1:1,2,generationis,,,,Clementine,VUL
41,Matthew,1,1,Matthew 1:1,3,Jesu,,,,Clementine,VUL
41,Matthew,1,1,Matthew 1:1,4,Christi,,,,Clementine,VUL
41,Matthew,1,1,Matthew 1:1,5,filii,,,,Clementine,VUL
41,Matthew,1,1,Matthew 1:1,6,"David,",,,,Clementine,VUL
41,Matthew,1,1,Matthew 1:1,7,filii,,,,Clementine,VUL
41,Matthew,1,1,Matthew 1:1,8,Abraham.,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,1,Abraham,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,2,genuit,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,3,Isaac.,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,4,Isaac,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,5,autem,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,6,genuit,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,7,Jacob.,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,8,Jacob,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,9,autem,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,10,genuit,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,11,"Judam,",,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,12,et,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,13,fratres,,,,Clementine,VUL
41,Matthew,1,2,Matthew 1:2,14,ejus.,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,1,Judas,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,2,autem,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,3,genuit,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,4,"Phares,",,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,5,et,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,6,Zaram,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,7,de,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,8,Thamar.,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,9,Phares,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,10,autem,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,11,genuit,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,12,Esron.,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,13,Esron,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,14,autem,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,15,genuit,,,,Clementine,VUL
41,Matthew,1,3,Matthew 1:3,16,Aram.,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,1,Aram,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,2,autem,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,3,genuit,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,4,Aminadab.,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,5,Aminadab,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,6,autem,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,7,genuit,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,8,Naasson.,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,9,Naasson,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,10,autem,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,11,genuit,,,,Clementine,VUL
41,Matthew,1,4,Matthew 1:4,12,Salmon.,,,,Clementine,VUL
41,Matthew,1,5,Matthew 1:5,1,Salmon,,,,Clementine,VUL
41,Matthew,1,5,Matthew 1:5,2,autem,,,,Clementine,VUL
41,Matthew,1,5,Matthew 1:5,3,genuit,,,,Clementine,VUL
41,Matthew,1,5,Matthew 1:5,4,Booz,,,,Clementine,VUL
41,Matthew,1,5,Matthew 1:5,5,de,,,,Clementine,VUL
