book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
33,Micah,1,1,Micah 1:1,1,Verbum,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,2,"Domini,",,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,3,quod,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,4,factum,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,5,est,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,6,ad,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,7,Michæam,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,8,"Morasthiten,",,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,9,in,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,10,diebus,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,11,"Joathan,",,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,12,"Achaz,",,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,13,et,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,14,"Ezechiæ,",,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,15,regum,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,16,"Juda,",,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,17,quod,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,18,vidit,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,19,super,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,20,Samariam,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,21,et,,,,Clementine,VUL
33,Micah,1,1,Micah 1:1,22,Jerusalem.,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,1,"Audite,",,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,2,populi,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,3,"omnes,",,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,4,et,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,5,attendat,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,6,"terra,",,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,7,et,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,8,plenitudo,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,9,ejus,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,10,:,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,11,et,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,12,sit,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,13,Dominus,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,14,Deus,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,15,vobis,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,16,in,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,17,"testem,",,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,18,Dominus,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,19,de,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,20,templo,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,21,sancto,,,,Clementine,VUL
33,Micah,1,2,Micah 1:2,22,suo.,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,1,Quia,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,2,ecce,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,3,Dominus,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,4,egredietur,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,5,de,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,6,loco,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,7,"suo,",,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,8,et,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,9,"descendet,",,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,10,et,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,11,calcabit,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,12,super,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,13,excelsa,,,,Clementine,VUL
33,Micah,1,3,Micah 1:3,14,terræ.,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,1,Et,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,2,consumentur,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,3,montes,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,4,subtus,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,5,"eum,",,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,6,et,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,7,valles,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,8,scindentur,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,9,sicut,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,10,cera,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,11,a,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,12,facie,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,13,"ignis,",,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,14,et,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,15,sicut,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,16,aquæ,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,17,quæ,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,18,decurrunt,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,19,in,,,,Clementine,VUL
33,Micah,1,4,Micah 1:4,20,præceps.,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,1,In,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,2,scelere,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,3,Jacob,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,4,omne,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,5,"istud,",,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,6,et,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,7,in,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,8,peccatis,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,9,domus,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,10,Israël.,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,11,Quod,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,12,scelus,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,13,Jacob,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,14,?,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,15,nonne,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,16,Samaria,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,17,?,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,18,et,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,19,quæ,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,20,excelsa,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,21,Judæ,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,22,?,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,23,nonne,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,24,Jerusalem,,,,Clementine,VUL
33,Micah,1,5,Micah 1:5,25,?,,,,Clementine,VUL
33,Micah,1,6,Micah 1:6,1,Et,,,,Clementine,VUL
33,Micah,1,6,Micah 1:6,2,ponam,,,,Clementine,VUL
33,Micah,1,6,Micah 1:6,3,Samariam,,,,Clementine,VUL
33,Micah,1,6,Micah 1:6,4,quasi,,,,Clementine,VUL
33,Micah,1,6,Micah 1:6,5,acervum,,,,Clementine,VUL
33,Micah,1,6,Micah 1:6,6,lapidum,,,,Clementine,VUL
