book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
34,Nahum,1,1,Nahum 1:1,1,Onus,,,,Clementine,VUL
34,Nahum,1,1,Nahum 1:1,2,Ninive.,,,,Clementine,VUL
34,Nahum,1,1,Nahum 1:1,3,Liber,,,,Clementine,VUL
34,Nahum,1,1,Nahum 1:1,4,visionis,,,,Clementine,VUL
34,Nahum,1,1,Nahum 1:1,5,Nahum,,,,Clementine,VUL
34,Nahum,1,1,Nahum 1:1,6,Elcesæi.,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,1,Deus,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,2,"æmulator,",,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,3,et,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,4,ulciscens,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,5,Dominus,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,6,:,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,7,ulciscens,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,8,"Dominus,",,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,9,et,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,10,habens,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,11,furorem,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,12,:,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,13,ulciscens,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,14,Dominus,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,15,in,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,16,hostes,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,17,"suos,",,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,18,et,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,19,irascens,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,20,ipse,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,21,inimicis,,,,Clementine,VUL
34,Nahum,1,2,Nahum 1:2,22,suis.,,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,1,Dominus,,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,2,"patiens,",,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,3,et,,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,4,magnus,,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,5,"fortitudine,",,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,6,et,,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,7,mundans,,,,Clementine,VUL
34,Nahum,1,3,Nahum 1:3,8,non,,,,Clementine,VUL
