book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
16,Nehemiah,1,1,Nehemiah 1:1,1,Verba,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,2,Nehemiæ,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,3,filii,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,4,Helchiæ.,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,5,Et,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,6,factum,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,7,est,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,8,in,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,9,mense,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,10,"Casleu,",,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,11,anno,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,12,"vigesimo,",,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,13,et,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,14,ego,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,15,eram,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,16,in,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,17,Susis,,,,Clementine,VUL
16,Nehemiah,1,1,Nehemiah 1:1,18,castro.,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,1,Et,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,2,venit,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,3,"Hanani,",,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,4,unus,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,5,de,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,6,fratribus,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,7,"meis,",,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,8,ipse,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,9,et,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,10,viri,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,11,ex,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,12,Juda,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,13,:,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,14,et,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,15,interrogavi,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,16,eos,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,17,de,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,18,Judæis,,,,Clementine,VUL
16,Nehemiah,1,2,Nehemiah 1:2,19,qui,,,,Clementine,VUL
